=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmnjxNSMzIA5wBdNAKDClwCZUxHPAC09ZgHYUjUmj6U41XHiQkZZACwKl8Zg2JkJ23rVXq0ATnZceNOCkGZhcMUknSDaFMbsA2fUxovtbcOnD06E64ru7EAMa44ADEEqlp4OYkxgnwyXH5BRmeeD7KGgGydNmJSQCG9Q1FgXglHKEmiI7Y0fQIUvE1BYUyeOSltBEjaKxttvxdzjFSU-JUHSpqxKNaa3Z6HpijRrvKZluWIXPwDpHdouLL594n8P4H4KPBs2ERQj1u-UwOUwdQa9SaHzQWTWwLyQwSUxKL3w5VusNBYIhoyqMJqaXSiNaNjCyFui16gPA6PhCOIfDGyLoXXRYPBMnpM2JHQEZP+sSBg3hEPpq0U6zOmHpOzFewq9OOMtOZAFuQxjXZF2+HRuf3uALRgqGwq84zgbw1Xy5dl+UT1-KpNVZtWN0LF1KFGqRitoqIGqqdxpxkrQLUuJIW-z67wQDO9+EmxBjnPadh5upcD2jclNeB5MhjVi1djwyGY6dcj0wMaMRdwvttGf1+bQWlr1wjesp7qNzeecf8fCzXzYQA
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 109220000), (116840000, 114360000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 114360000), (119380000, 116900000)]
13:40:13: [INFO] Routing SW37 with D37
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW37:2' at (97790000, 111601250) with pad 'D37:2' at (100330000, 119281250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 111601250), (97790000, 116741250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 116741250), (100330000, 119281250)]
13:40:13: [INFO] Routing SW36 with D36
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW36:2' at (393065000, 97313750) with pad 'D36:2' at (395605000, 104993750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 97313750), (393065000, 102453750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 102453750), (395605000, 104993750)]
13:40:13: [INFO] Routing SW35 with D35
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW35:2' at (374015000, 97313750) with pad 'D35:2' at (376555000, 104993750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 97313750), (374015000, 102453750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 102453750), (376555000, 104993750)]
13:40:13: [INFO] Routing SW34 with D34
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW34:2' at (354965000, 92551250) with pad 'D34:2' at (357505000, 100231250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 92551250), (354965000, 97691250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 97691250), (357505000, 100231250)]
13:40:13: [INFO] Routing SW33 with D33
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW33:2' at (335915000, 90170000) with pad 'D33:2' at (338455000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 90170000), (335915000, 95310000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 95310000), (338455000, 97850000)]
13:40:13: [INFO] Routing SW32 with D32
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW32:2' at (316865000, 92551250) with pad 'D32:2' at (319405000, 100231250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 92551250), (316865000, 97691250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 97691250), (319405000, 100231250)]
13:40:13: [INFO] Routing SW31 with D31
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW31:2' at (297815000, 94932500) with pad 'D31:2' at (300355000, 102612500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 94932500), (297815000, 100072500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 100072500), (300355000, 102612500)]
13:40:13: [INFO] Routing SW30 with D30
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW30:2' at (154940000, 94932500) with pad 'D30:2' at (157480000, 102612500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 94932500), (154940000, 100072500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 100072500), (157480000, 102612500)]
13:40:13: [INFO] Routing SW29 with D29
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW29:2' at (135890000, 92551250) with pad 'D29:2' at (138430000, 100231250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 92551250), (135890000, 97691250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 97691250), (138430000, 100231250)]
13:40:13: [INFO] Routing SW28 with D28
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW28:2' at (116840000, 90170000) with pad 'D28:2' at (119380000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 90170000), (116840000, 95310000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 95310000), (119380000, 97850000)]
13:40:13: [INFO] Routing SW27 with D27
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW27:2' at (97790000, 92551250) with pad 'D27:2' at (100330000, 100231250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 92551250), (97790000, 97691250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 97691250), (100330000, 100231250)]
13:40:13: [INFO] Routing SW26 with D26
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW26:2' at (78740000, 97313750) with pad 'D26:2' at (81280000, 104993750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 97313750), (78740000, 102453750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 102453750), (81280000, 104993750)]
13:40:13: [INFO] Routing SW25 with D25
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW25:2' at (59690000, 97313750) with pad 'D25:2' at (62230000, 104993750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 97313750), (59690000, 102453750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 102453750), (62230000, 104993750)]
13:40:13: [INFO] Routing SW24 with D24
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW24:2' at (393065000, 78263750) with pad 'D24:2' at (395605000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 78263750), (393065000, 83403750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 83403750), (395605000, 85943750)]
13:40:13: [INFO] Routing SW23 with D23
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW23:2' at (374015000, 78263750) with pad 'D23:2' at (376555000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 78263750), (374015000, 83403750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 83403750), (376555000, 85943750)]
13:40:13: [INFO] Routing SW22 with D22
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW22:2' at (354965000, 73501250) with pad 'D22:2' at (357505000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 73501250), (354965000, 78641250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 78641250), (357505000, 81181250)]
13:40:13: [INFO] Routing SW21 with D21
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW21:2' at (335915000, 71120000) with pad 'D21:2' at (338455000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 71120000), (335915000, 76260000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 76260000), (338455000, 78800000)]
13:40:13: [INFO] Routing SW20 with D20
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW20:2' at (316865000, 73501250) with pad 'D20:2' at (319405000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 73501250), (316865000, 78641250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 78641250), (319405000, 81181250)]
13:40:13: [INFO] Routing SW19 with D19
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW19:2' at (297815000, 75882500) with pad 'D19:2' at (300355000, 83562500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 75882500), (297815000, 81022500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 81022500), (300355000, 83562500)]
13:40:13: [INFO] Routing SW18 with D18
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW18:2' at (154940000, 75882500) with pad 'D18:2' at (157480000, 83562500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 75882500), (154940000, 81022500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 81022500), (157480000, 83562500)]
13:40:13: [INFO] Routing SW17 with D17
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW17:2' at (135890000, 73501250) with pad 'D17:2' at (138430000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 73501250), (135890000, 78641250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(135890000, 78641250), (138430000, 81181250)]
13:40:13: [INFO] Routing SW16 with D16
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW16:2' at (116840000, 71120000) with pad 'D16:2' at (119380000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 71120000), (116840000, 76260000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(116840000, 76260000), (119380000, 78800000)]
13:40:13: [INFO] Routing SW15 with D15
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW15:2' at (97790000, 73501250) with pad 'D15:2' at (100330000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 73501250), (97790000, 78641250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(97790000, 78641250), (100330000, 81181250)]
13:40:13: [INFO] Routing SW14 with D14
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW14:2' at (78740000, 78263750) with pad 'D14:2' at (81280000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 78263750), (78740000, 83403750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(78740000, 83403750), (81280000, 85943750)]
13:40:13: [INFO] Routing SW13 with D13
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW13:2' at (59690000, 78263750) with pad 'D13:2' at (62230000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 78263750), (59690000, 83403750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(59690000, 83403750), (62230000, 85943750)]
13:40:13: [INFO] Routing SW12 with D12
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW12:2' at (393065000, 59213750) with pad 'D12:2' at (395605000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 59213750), (393065000, 64353750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(393065000, 64353750), (395605000, 66893750)]
13:40:13: [INFO] Routing SW11 with D11
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW11:2' at (374015000, 59213750) with pad 'D11:2' at (376555000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 59213750), (374015000, 64353750)]
13:40:13: [INFO] Adding track segment (B.Cu): [(374015000, 64353750), (376555000, 66893750)]
13:40:13: [INFO] Routing SW10 with D10
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW10:2' at (354965000, 54451250) with pad 'D10:2' at (357505000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 54451250), (354965000, 59591250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(354965000, 59591250), (357505000, 62131250)]
13:40:13: [INFO] Routing SW9 with D9
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW9:2' at (335915000, 52070000) with pad 'D9:2' at (338455000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 52070000), (335915000, 57210000)]
13:40:13: [INFO] Adding track segment (B.Cu): [(335915000, 57210000), (338455000, 59750000)]
13:40:13: [INFO] Routing SW8 with D8
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW8:2' at (316865000, 54451250) with pad 'D8:2' at (319405000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 54451250), (316865000, 59591250)]
13:40:13: [INFO] Adding track segment (B.Cu): [(316865000, 59591250), (319405000, 62131250)]
13:40:13: [INFO] Routing SW7 with D7
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW7:2' at (297815000, 56832500) with pad 'D7:2' at (300355000, 64512500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 56832500), (297815000, 61972500)]
13:40:13: [INFO] Adding track segment (B.Cu): [(297815000, 61972500), (300355000, 64512500)]
13:40:13: [INFO] Routing SW6 with D6
13:40:13: [INFO] Using internal autorouter method
13:40:13: [INFO] Routing pad 'SW6:2' at (154940000, 56832500) with pad 'D6:2' at (157480000, 64512500) using coordinate system rotated by 0 degree(s)
13:40:13: [INFO] Adding track segment (B.Cu): [(154940000, 56832500), (154940000, 61972500)]
