=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:26: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBpwHQO3vATNUkAEFIEY2aknlgMxFQAsZkArHgN6gAeoAXOuAHQDs1AvhqGqoBQ3CMiFxpcZQwMAxq0wBiAIbqNofpiHVECOMVQBdSACgw2YegVLQy+Y6daBVsZiuSPkad9nfaOSYlTh5tUAA2a0icIiivGN8Y-1s2ew1NcKjaUwtUlS5CopdMFHB6UEU0hydHEtAUdwaJIhQklH9mwJtgtlC+AS5ooaahhKGkoc6hnPNgfPSM1XqjcqCqlVq68KMmowSjJKNOo26GZj7uAcwADmi7pruEu6S7lMq7ZSLi8LvZvI+1SWy3C5GiYKaYISYKSYPI+ngUDWPQ29i2ilBNARcCRFQu7Cu4QAnNBsVZkQs1Et6iTsGTrJTvoUaS0BCSkiTOiT-vNeugwZhUTVakQAO5KJCY+EGRGxIL4-oCcVsSVsnD03C5XkAZwAtnYAE4AewALgB9ACm8mwuHCSOxjWx2ItFL52EVgs+wPqumxuydMrgFs1xiAA
13:35:28: [INFO] Add SW16 footprint
13:35:28: [INFO] Add D16 footprint
13:35:28: [INFO] Add SW17 footprint
13:35:28: [INFO] Add D17 footprint
13:35:28: [INFO] Add SW18 footprint
13:35:28: [INFO] Add D18 footprint
13:35:28: [INFO] Add SW19 footprint
13:35:28: [INFO] Add D19 footprint
13:35:28: [INFO] Add SW20 footprint
13:35:28: [INFO] Add D20 footprint
13:35:28: [INFO] Add SW21 footprint
13:35:28: [INFO] Add D21 footprint
13:35:28: [INFO] Add SW22 footprint
13:35:28: [INFO] Add D22 footprint
13:35:28: [INFO] Add SW23 footprint
13:35:28: [INFO] Add D23 footprint
13:35:28: [INFO] Add SW24 footprint
13:35:28: [INFO] Add D24 footprint
13:35:28: [INFO] Add SW25 footprint
13:35:28: [INFO] Add D25 footprint
13:35:28: [INFO] Add SW26 footprint
13:35:28: [INFO] Add D26 footprint
13:35:28: [INFO] Add SW27 footprint
13:35:28: [INFO] Add D27 footprint
13:35:28: [INFO] Add SW28 footprint
13:35:29: [INFO] Add D28 footprint
13:35:29: [INFO] Add SW29 footprint
13:35:29: [INFO] Add D29 footprint
13:35:29: [INFO] Add SW29a footprint
13:35:29: [INFO] Add ST29a footprint
13:35:29: [INFO] Add SW30 footprint
13:35:29: [INFO] Add D30 footprint
13:35:29: [INFO] Add SW31 footprint
13:35:29: [INFO] Add D31 footprint
13:35:29: [INFO] Add SW32 footprint
13:35:29: [INFO] Add D32 footprint
13:35:29: [INFO] Add SW33 footprint
13:35:29: [INFO] Add D33 footprint
13:35:29: [INFO] Add SW34 footprint
13:35:29: [INFO] Add D34 footprint
13:35:29: [INFO] Add SW35 footprint
13:35:29: [INFO] Add D35 footprint
13:35:29: [INFO] Add SW36 footprint
13:35:29: [INFO] Add D36 footprint
13:35:29: [INFO] Add SW36a footprint
13:35:29: [INFO] Add SW37 footprint
13:35:29: [INFO] Add D37 footprint
13:35:29: [INFO] Add SW38 footprint
13:35:29: [INFO] Add D38 footprint
13:35:29: [INFO] Add SW39 footprint
13:35:29: [INFO] Add D39 footprint
13:35:29: [INFO] Add SW40 footprint
13:35:29: [INFO] Add D40 footprint
13:35:29: [INFO] Add SW41 footprint
13:35:29: [INFO] Add D41 footprint
13:35:29: [INFO] Add SW42 footprint
13:35:29: [INFO] Add D42 footprint
13:35:29: [INFO] Add SW43 footprint
13:35:29: [INFO] Add D43 footprint
13:35:29: [INFO] Add SW44 footprint
13:35:30: [INFO] Add D44 footprint
13:35:30: [INFO] Add SW45 footprint
13:35:30: [INFO] Add D45 footprint
13:35:30: [INFO] Add SW46 footprint
13:35:30: [INFO] Add D46 footprint
13:35:30: [INFO] Add SW47 footprint
13:35:30: [INFO] Add D47 footprint
13:35:30: [INFO] Add SW48 footprint
13:35:30: [INFO] Add D48 footprint
13:35:30: [INFO] Add SW49 footprint
13:35:30: [INFO] Add D49 footprint
13:35:30: [INFO] Add SW50 footprint
13:35:30: [INFO] Add D50 footprint
13:35:30: [INFO] Add SW51 footprint
13:35:30: [INFO] Add D51 footprint
13:35:30: [INFO] Add SW52 footprint
13:35:30: [INFO] Add D52 footprint
13:35:30: [INFO] Add SW53 footprint
13:35:30: [INFO] Add D53 footprint
13:35:30: [INFO] Add SW54 footprint
13:35:30: [INFO] Add D54 footprint
13:35:30: [INFO] Add SW55 footprint
13:35:30: [INFO] Add D55 footprint
13:35:30: [INFO] Add SW56 footprint
13:35:30: [INFO] Add D56 footprint
13:35:30: [INFO] Add SW56a footprint
13:35:30: [INFO] Add ST56a footprint
13:35:30: [INFO] Add SW57 footprint
13:35:30: [INFO] Add D57 footprint
13:35:30: [INFO] Add SW58 footprint
13:35:30: [INFO] Add D58 footprint
13:35:30: [INFO] Add SW59 footprint
13:35:30: [INFO] Add D59 footprint
13:35:30: [INFO] Add SW60 footprint
13:35:30: [INFO] Add D60 footprint
13:35:31: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:31: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:31: [INFO] Layout offset: (28575000, 28575000)
13:35:31: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:31: [INFO] Placing additional elements for SW60
13:35:31: [INFO] Placing additional elements for SW59
13:35:31: [INFO] Placing additional elements for SW58
13:35:31: [INFO] Placing additional elements for SW57
13:35:31: [INFO] Placing additional elements for SW56a
13:35:31: [INFO] Placing additional elements for SW56
13:35:31: [INFO] Placing additional elements for SW55
13:35:31: [INFO] Placing additional elements for SW54
13:35:31: [INFO] Placing additional elements for SW53
13:35:31: [INFO] Placing additional elements for SW52
13:35:31: [INFO] Placing additional elements for SW51
13:35:31: [INFO] Placing additional elements for SW50
13:35:31: [INFO] Placing additional elements for SW49
13:35:31: [INFO] Placing additional elements for SW48
13:35:31: [INFO] Placing additional elements for SW47
13:35:31: [INFO] Placing additional elements for SW46
13:35:31: [INFO] Placing additional elements for SW45
13:35:31: [INFO] Placing additional elements for SW44
13:35:31: [INFO] Placing additional elements for SW43
13:35:31: [INFO] Placing additional elements for SW42
13:35:31: [INFO] Placing additional elements for SW41
13:35:31: [INFO] Placing additional elements for SW40
13:35:31: [INFO] Placing additional elements for SW39
13:35:31: [INFO] Placing additional elements for SW38
13:35:31: [INFO] Placing additional elements for SW37
13:35:31: [INFO] Placing additional elements for SW36a
13:35:31: [INFO] Placing additional elements for SW36
13:35:31: [INFO] Placing additional elements for SW35
13:35:31: [INFO] Placing additional elements for SW34
13:35:31: [INFO] Placing additional elements for SW33
13:35:31: [INFO] Placing additional elements for SW32
13:35:31: [INFO] Placing additional elements for SW31
13:35:31: [INFO] Placing additional elements for SW30
13:35:31: [INFO] Placing additional elements for SW29a
13:35:31: [INFO] Placing additional elements for SW29
13:35:31: [INFO] Placing additional elements for SW28
13:35:31: [INFO] Placing additional elements for SW27
13:35:31: [INFO] Placing additional elements for SW26
13:35:31: [INFO] Placing additional elements for SW25
13:35:31: [INFO] Placing additional elements for SW24
13:35:31: [INFO] Placing additional elements for SW23
13:35:31: [INFO] Placing additional elements for SW22
13:35:31: [INFO] Placing additional elements for SW21
13:35:31: [INFO] Placing additional elements for SW20
13:35:31: [INFO] Placing additional elements for SW19
13:35:31: [INFO] Placing additional elements for SW18
13:35:31: [INFO] Placing additional elements for SW17
13:35:31: [INFO] Placing additional elements for SW16
13:35:31: [INFO] Placing additional elements for SW15
13:35:31: [INFO] Placing additional elements for SW14
13:35:31: [INFO] Placing additional elements for SW13
13:35:31: [INFO] Placing additional elements for SW12
13:35:31: [INFO] Placing additional elements for SW11
13:35:31: [INFO] Placing additional elements for SW10
13:35:31: [INFO] Placing additional elements for SW9
13:35:31: [INFO] Placing additional elements for SW8
13:35:31: [INFO] Placing additional elements for SW7
13:35:31: [INFO] Placing additional elements for SW6
13:35:31: [INFO] Placing additional elements for SW5
13:35:31: [INFO] Placing additional elements for SW4
13:35:31: [INFO] Placing additional elements for SW3
13:35:31: [INFO] Placing additional elements for SW2
13:35:31: [INFO] Placing additional elements for SW1a
13:35:31: [INFO] Placing additional elements for SW1
13:35:31: [INFO] Routing SW60 with D60
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW60:2' at (264477500, 109220000) with pad 'D60:2' at (267017500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 109220000), (264477500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 114360000), (267017500, 116900000)]
13:35:31: [INFO] Routing SW59 with D59
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW59:2' at (245427500, 109220000) with pad 'D59:2' at (247967500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 109220000), (245427500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 114360000), (247967500, 116900000)]
13:35:31: [INFO] Routing SW58 with D58
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW58:2' at (226377500, 109220000) with pad 'D58:2' at (228917500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 109220000), (226377500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 114360000), (228917500, 116900000)]
13:35:31: [INFO] Routing SW57 with D57
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW57:2' at (207327500, 109220000) with pad 'D57:2' at (209867500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 109220000), (207327500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 114360000), (209867500, 116900000)]
13:35:31: [INFO] Routing SW56a with D56
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW56a:2' at (178752500, 109220000) with pad 'D56:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Routing SW56 with D56
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW56:2' at (188277500, 109220000) with pad 'D56:2' at (190817500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 109220000), (188277500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 114360000), (190817500, 116900000)]
13:35:31: [INFO] Routing SW55 with D55
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW55:2' at (169227500, 109220000) with pad 'D55:2' at (171767500, 116900000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 109220000), (169227500, 114360000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 114360000), (171767500, 116900000)]
13:35:31: [INFO] Routing SW54 with D54
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW54:2' at (264477500, 90170000) with pad 'D54:2' at (267017500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 90170000), (264477500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 95310000), (267017500, 97850000)]
13:35:31: [INFO] Routing SW53 with D53
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW53:2' at (245427500, 90170000) with pad 'D53:2' at (247967500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 90170000), (245427500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 95310000), (247967500, 97850000)]
13:35:31: [INFO] Routing SW52 with D52
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW52:2' at (226377500, 90170000) with pad 'D52:2' at (228917500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 90170000), (226377500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 95310000), (228917500, 97850000)]
13:35:31: [INFO] Routing SW51 with D51
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW51:2' at (207327500, 90170000) with pad 'D51:2' at (209867500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 90170000), (207327500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 95310000), (209867500, 97850000)]
13:35:31: [INFO] Routing SW50 with D50
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW50:2' at (188277500, 90170000) with pad 'D50:2' at (190817500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 90170000), (188277500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 95310000), (190817500, 97850000)]
13:35:31: [INFO] Routing SW49 with D49
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW49:2' at (169227500, 90170000) with pad 'D49:2' at (171767500, 97850000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 90170000), (169227500, 95310000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 95310000), (171767500, 97850000)]
13:35:31: [INFO] Routing SW48 with D48
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW48:2' at (264477500, 71120000) with pad 'D48:2' at (267017500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 71120000), (264477500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 76260000), (267017500, 78800000)]
13:35:31: [INFO] Routing SW47 with D47
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW47:2' at (245427500, 71120000) with pad 'D47:2' at (247967500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 71120000), (245427500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 76260000), (247967500, 78800000)]
13:35:31: [INFO] Routing SW46 with D46
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW46:2' at (226377500, 71120000) with pad 'D46:2' at (228917500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 71120000), (226377500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 76260000), (228917500, 78800000)]
13:35:31: [INFO] Routing SW45 with D45
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW45:2' at (207327500, 71120000) with pad 'D45:2' at (209867500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 71120000), (207327500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 76260000), (209867500, 78800000)]
13:35:31: [INFO] Routing SW44 with D44
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW44:2' at (188277500, 71120000) with pad 'D44:2' at (190817500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 71120000), (188277500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 76260000), (190817500, 78800000)]
13:35:31: [INFO] Routing SW43 with D43
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW43:2' at (169227500, 71120000) with pad 'D43:2' at (171767500, 78800000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 71120000), (169227500, 76260000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 76260000), (171767500, 78800000)]
13:35:31: [INFO] Routing SW42 with D42
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW42:2' at (264477500, 52070000) with pad 'D42:2' at (267017500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 52070000), (264477500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 57210000), (267017500, 59750000)]
13:35:31: [INFO] Routing SW41 with D41
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW41:2' at (245427500, 52070000) with pad 'D41:2' at (247967500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 52070000), (245427500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 57210000), (247967500, 59750000)]
13:35:31: [INFO] Routing SW40 with D40
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW40:2' at (226377500, 52070000) with pad 'D40:2' at (228917500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 52070000), (226377500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 57210000), (228917500, 59750000)]
13:35:31: [INFO] Routing SW39 with D39
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW39:2' at (207327500, 52070000) with pad 'D39:2' at (209867500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 52070000), (207327500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 57210000), (209867500, 59750000)]
13:35:31: [INFO] Routing SW38 with D38
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW38:2' at (188277500, 52070000) with pad 'D38:2' at (190817500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 52070000), (188277500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 57210000), (190817500, 59750000)]
13:35:31: [INFO] Routing SW37 with D37
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW37:2' at (169227500, 52070000) with pad 'D37:2' at (171767500, 59750000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 52070000), (169227500, 57210000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 57210000), (171767500, 59750000)]
13:35:31: [INFO] Routing SW36a with D36
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW36a:S2' at (268937500, 35600000) with pad 'D36:2' at (267017500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(268937500, 35600000), (268937500, 38780000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(268937500, 38780000), (267017500, 40700000)]
13:35:31: [INFO] Routing SW36 with D36
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW36:2' at (264477500, 33020000) with pad 'D36:2' at (267017500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 33020000), (264477500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(264477500, 38160000), (267017500, 40700000)]
13:35:31: [INFO] Routing SW35 with D35
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW35:2' at (245427500, 33020000) with pad 'D35:2' at (247967500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 33020000), (245427500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(245427500, 38160000), (247967500, 40700000)]
13:35:31: [INFO] Routing SW34 with D34
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW34:2' at (226377500, 33020000) with pad 'D34:2' at (228917500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 33020000), (226377500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(226377500, 38160000), (228917500, 40700000)]
13:35:31: [INFO] Routing SW33 with D33
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW33:2' at (207327500, 33020000) with pad 'D33:2' at (209867500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 33020000), (207327500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(207327500, 38160000), (209867500, 40700000)]
13:35:31: [INFO] Routing SW32 with D32
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW32:2' at (188277500, 33020000) with pad 'D32:2' at (190817500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 33020000), (188277500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(188277500, 38160000), (190817500, 40700000)]
13:35:31: [INFO] Routing SW31 with D31
13:35:31: [INFO] Using internal autorouter method
13:35:31: [INFO] Routing pad 'SW31:2' at (169227500, 33020000) with pad 'D31:2' at (171767500, 40700000) using coordinate system rotated by 0 degree(s)
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 33020000), (169227500, 38160000)]
13:35:31: [INFO] Adding track segment (B.Cu): [(169227500, 38160000), (171767500, 40700000)]
13:35:31: [INFO] Routing SW30 with D30
13:35:31: [INFO] Using internal autorouter method
