=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:16: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0yA0dwE9ZwAxpIC+m4+6CAzADoB299FC4mEAxnuAMQCG-A8KSzMkjBnWbgAuugBQYKHkJIkZTvB4B2HbqFkE6fDPmLo8Kii1lc8ALSEAnGqwas3dp6-6R6AEyscBDmcAAcKAAsJGTMLLIKwXgIVjZ4DijOwuRGgdksbErwCIRRWcwBBW48AoJkAO54fmWUEeJMOfFmyihULjhphAhZfh2miUVUqfZOfVUeXp4+4IYIcWOFiCh9tnDpzupcfDW8uQ1FW1krgRyHC4uX-tcbxSj4DwgVWCtUT3PHJ-UkhcDJQkCYEhtBtsBmgspNjJ1xohLBEprsnAdNPMFksRqtcnjPjcsbo9ID4H4UH5ol8Wk8QnYEAA2HqzQ7-U5ArQ08B4363O64x6I56vNlYjnkuCU6lwyj8rF3ThyokbcKhOX4siTD4K9ySrBnTbc4aUWgSeiGYxkPFiC10K307qTQ2NKw8vGte1XEUhZL4PpG5I81H5ILPFGBoEh0HgxQAJySIywIVQAbRdhZFFcApxzR+MXQEVyFDBhaZcaRERQTIeBdpxZBZdpFd9eGroQ96HrvKLBPQzd7rfWqZ6cp7k0bWEmg8mw4hIRZTMx7lJOk5FKyqObxP1xw3m1lZFR8668DT0OmGSj5xjPxFifsHzIIXCUQzyXfOcVguaWhL6ChABjgAcUlZqmKDz-iCQEgiBIJgW28DhE0NroNBWAjLBmHoPBOGISOeBaO6coYeAkzYeRuG5DqCKEfAxHciu2hrgelImsegHgX6KiXui17MUcNQHsGW6UAi0hAA
13:37:17: [INFO] Add Net-(D63-A) net
13:37:17: [INFO] Add Net-(D64-A) net
13:37:17: [INFO] Add Net-(D65-A) net
13:37:17: [INFO] Add Net-(D66-A) net
13:37:17: [INFO] Add Net-(D67-A) net
13:37:17: [INFO] Add Net-(D68-A) net
13:37:17: [INFO] Add Net-(D7-A) net
13:37:17: [INFO] Add Net-(D8-A) net
13:37:17: [INFO] Add Net-(D9-A) net
13:37:17: [INFO] Add ROW0 net
13:37:17: [INFO] Add ROW1 net
13:37:17: [INFO] Add ROW2 net
13:37:17: [INFO] Add ROW3 net
13:37:17: [INFO] Add ROW4 net
13:37:17: [INFO] Add SW1 footprint
13:37:17: [INFO] Add D1 footprint
13:37:17: [INFO] Add SW2 footprint
13:37:17: [INFO] Add D2 footprint
13:37:17: [INFO] Add SW3 footprint
13:37:17: [INFO] Add D3 footprint
13:37:17: [INFO] Add SW4 footprint
13:37:17: [INFO] Add D4 footprint
13:37:17: [INFO] Add SW5 footprint
13:37:17: [INFO] Add D5 footprint
13:37:17: [INFO] Add SW6 footprint
13:37:17: [INFO] Add D6 footprint
13:37:17: [INFO] Add SW7 footprint
13:37:17: [INFO] Add D7 footprint
13:37:17: [INFO] Add SW8 footprint
13:37:18: [INFO] Add D8 footprint
13:37:18: [INFO] Add SW9 footprint
13:37:18: [INFO] Add D9 footprint
13:37:18: [INFO] Add SW10 footprint
13:37:18: [INFO] Add D10 footprint
13:37:18: [INFO] Add SW11 footprint
13:37:18: [INFO] Add D11 footprint
13:37:18: [INFO] Add SW12 footprint
13:37:18: [INFO] Add D12 footprint
13:37:18: [INFO] Add SW13 footprint
13:37:18: [INFO] Add D13 footprint
13:37:18: [INFO] Add SW14 footprint
13:37:18: [INFO] Add D14 footprint
13:37:18: [INFO] Add SW15 footprint
13:37:18: [INFO] Add D15 footprint
13:37:18: [INFO] Add ST15 footprint
13:37:18: [INFO] Add SW16 footprint
13:37:18: [INFO] Add D16 footprint
13:37:18: [INFO] Add SW17 footprint
13:37:18: [INFO] Add D17 footprint
13:37:18: [INFO] Add SW18 footprint
13:37:18: [INFO] Add D18 footprint
13:37:18: [INFO] Add SW19 footprint
13:37:18: [INFO] Add D19 footprint
13:37:18: [INFO] Add SW20 footprint
13:37:18: [INFO] Add D20 footprint
13:37:18: [INFO] Add SW21 footprint
13:37:18: [INFO] Add D21 footprint
13:37:18: [INFO] Add SW22 footprint
13:37:18: [INFO] Add D22 footprint
13:37:18: [INFO] Add SW23 footprint
13:37:18: [INFO] Add D23 footprint
13:37:19: [INFO] Add SW24 footprint
13:37:19: [INFO] Add D24 footprint
13:37:19: [INFO] Add SW25 footprint
13:37:19: [INFO] Add D25 footprint
13:37:19: [INFO] Add SW26 footprint
13:37:19: [INFO] Add D26 footprint
13:37:19: [INFO] Add SW27 footprint
13:37:19: [INFO] Add D27 footprint
13:37:19: [INFO] Add SW28 footprint
13:37:19: [INFO] Add D28 footprint
13:37:19: [INFO] Add SW29 footprint
13:37:19: [INFO] Add D29 footprint
13:37:19: [INFO] Add SW30 footprint
13:37:19: [INFO] Add D30 footprint
13:37:19: [INFO] Add SW31 footprint
13:37:19: [INFO] Add D31 footprint
13:37:19: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:19: [INFO] Add ST31 footprint
13:37:19: [INFO] Add SW32 footprint
13:37:19: [INFO] Add D32 footprint
13:37:19: [INFO] Add SW33 footprint
13:37:19: [INFO] Add D33 footprint
13:37:19: [INFO] Add SW34 footprint
13:37:19: [INFO] Add D34 footprint
13:37:19: [INFO] Add SW35 footprint
13:37:19: [INFO] Add D35 footprint
13:37:19: [INFO] Add SW36 footprint
13:37:19: [INFO] Add D36 footprint
13:37:19: [INFO] Add SW37 footprint
13:37:19: [INFO] Add D37 footprint
13:37:19: [INFO] Add SW38 footprint
13:37:19: [INFO] Add D38 footprint
13:37:19: [INFO] Add SW39 footprint
13:37:19: [INFO] Add D39 footprint
13:37:20: [INFO] Add SW40 footprint
13:37:20: [INFO] Add D40 footprint
13:37:20: [INFO] Add SW41 footprint
13:37:20: [INFO] Add D41 footprint
13:37:20: [INFO] Add SW42 footprint
13:37:20: [INFO] Add D42 footprint
13:37:20: [INFO] Add SW43 footprint
13:37:20: [INFO] Add D43 footprint
13:37:20: [INFO] Add SW44 footprint
13:37:20: [INFO] Add D44 footprint
13:37:20: [INFO] Add SW45 footprint
13:37:20: [INFO] Add D45 footprint
13:37:20: [INFO] Add SW46 footprint
13:37:20: [INFO] Add D46 footprint
13:37:20: [INFO] Add SW47 footprint
13:37:20: [INFO] Add D47 footprint
13:37:20: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:20: [INFO] Add ST47 footprint
13:37:20: [INFO] Add SW48 footprint
13:37:20: [INFO] Add D48 footprint
13:37:20: [INFO] Add SW49 footprint
13:37:20: [INFO] Add D49 footprint
13:37:20: [INFO] Add SW50 footprint
13:37:20: [INFO] Add D50 footprint
13:37:20: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:20: [INFO] Add ST50 footprint
13:37:20: [INFO] Add SW51 footprint
13:37:20: [INFO] Add D51 footprint
13:37:20: [INFO] Add SW52 footprint
13:37:20: [INFO] Add D52 footprint
13:37:20: [INFO] Add SW53 footprint
13:37:20: [INFO] Add D53 footprint
13:37:20: [INFO] Add SW54 footprint
13:37:20: [INFO] Add D54 footprint
13:37:20: [INFO] Add SW55 footprint
13:37:20: [INFO] Add D55 footprint
13:37:20: [INFO] Add SW56 footprint
13:37:20: [INFO] Add D56 footprint
13:37:21: [INFO] Add SW57 footprint
13:37:21: [INFO] Add D57 footprint
13:37:21: [INFO] Add SW58 footprint
13:37:21: [INFO] Add D58 footprint
13:37:21: [INFO] Add SW59 footprint
13:37:21: [INFO] Add D59 footprint
13:37:21: [INFO] Add SW60 footprint
13:37:21: [INFO] Add D60 footprint
13:37:21: [INFO] Add SW61 footprint
13:37:21: [INFO] Add D61 footprint
13:37:21: [INFO] Add SW62 footprint
13:37:21: [INFO] Add D62 footprint
13:37:21: [INFO] Add SW63 footprint
13:37:21: [INFO] Add D63 footprint
13:37:21: [INFO] Add SW64 footprint
13:37:21: [INFO] Add D64 footprint
13:37:21: [INFO] Add ST64 footprint
13:37:21: [INFO] Add SW65 footprint
13:37:21: [INFO] Add D65 footprint
13:37:21: [INFO] Add SW66 footprint
13:37:21: [INFO] Add D66 footprint
13:37:21: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:37:21: [INFO] Add ST66 footprint
13:37:21: [INFO] Add SW67 footprint
13:37:21: [INFO] Add D67 footprint
13:37:21: [INFO] Add SW68 footprint
13:37:21: [INFO] Add D68 footprint
13:37:21: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:21: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:21: [INFO] Layout offset: (37147500, 25717500)
13:37:21: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:21: [INFO] Placing additional elements for SW68
13:37:21: [INFO] Placing additional elements for SW67
13:37:21: [INFO] Placing additional elements for SW66
13:37:21: [INFO] Placing additional elements for SW65
13:37:21: [INFO] Placing additional elements for SW64
13:37:21: [INFO] Placing additional elements for SW63
13:37:21: [INFO] Placing additional elements for SW62
13:37:21: [INFO] Placing additional elements for SW61
13:37:21: [INFO] Placing additional elements for SW60
13:37:21: [INFO] Placing additional elements for SW59
13:37:21: [INFO] Placing additional elements for SW58
13:37:21: [INFO] Placing additional elements for SW57
13:37:21: [INFO] Placing additional elements for SW56
13:37:21: [INFO] Placing additional elements for SW55
13:37:21: [INFO] Placing additional elements for SW54
13:37:21: [INFO] Placing additional elements for SW53
13:37:21: [INFO] Placing additional elements for SW52
13:37:21: [INFO] Placing additional elements for SW51
13:37:21: [INFO] Placing additional elements for SW50
13:37:21: [INFO] Placing additional elements for SW49
13:37:21: [INFO] Placing additional elements for SW48
13:37:21: [INFO] Placing additional elements for SW47
13:37:21: [INFO] Placing additional elements for SW46
13:37:21: [INFO] Placing additional elements for SW45
13:37:21: [INFO] Placing additional elements for SW44
13:37:21: [INFO] Placing additional elements for SW43
13:37:21: [INFO] Placing additional elements for SW42
13:37:21: [INFO] Placing additional elements for SW41
13:37:21: [INFO] Placing additional elements for SW40
13:37:21: [INFO] Placing additional elements for SW39
13:37:21: [INFO] Placing additional elements for SW38
13:37:21: [INFO] Placing additional elements for SW37
13:37:21: [INFO] Placing additional elements for SW36
13:37:21: [INFO] Placing additional elements for SW35
13:37:21: [INFO] Placing additional elements for SW34
13:37:21: [INFO] Placing additional elements for SW33
13:37:21: [INFO] Placing additional elements for SW32
13:37:21: [INFO] Placing additional elements for SW31
13:37:21: [INFO] Placing additional elements for SW30
13:37:21: [INFO] Placing additional elements for SW29
13:37:21: [INFO] Placing additional elements for SW28
13:37:21: [INFO] Placing additional elements for SW27
13:37:21: [INFO] Placing additional elements for SW26
13:37:21: [INFO] Placing additional elements for SW25
13:37:21: [INFO] Placing additional elements for SW24
13:37:21: [INFO] Placing additional elements for SW23
13:37:21: [INFO] Placing additional elements for SW22
13:37:21: [INFO] Placing additional elements for SW21
13:37:21: [INFO] Placing additional elements for SW20
13:37:21: [INFO] Placing additional elements for SW19
13:37:21: [INFO] Placing additional elements for SW18
13:37:21: [INFO] Placing additional elements for SW17
13:37:21: [INFO] Placing additional elements for SW16
13:37:21: [INFO] Placing additional elements for SW15
13:37:21: [INFO] Placing additional elements for SW14
13:37:21: [INFO] Placing additional elements for SW13
13:37:21: [INFO] Placing additional elements for SW12
13:37:21: [INFO] Placing additional elements for SW11
13:37:21: [INFO] Placing additional elements for SW10
13:37:21: [INFO] Placing additional elements for SW9
13:37:21: [INFO] Placing additional elements for SW8
13:37:21: [INFO] Placing additional elements for SW7
13:37:21: [INFO] Placing additional elements for SW6
13:37:21: [INFO] Placing additional elements for SW5
13:37:21: [INFO] Placing additional elements for SW4
13:37:21: [INFO] Placing additional elements for SW3
13:37:21: [INFO] Placing additional elements for SW2
13:37:21: [INFO] Placing additional elements for SW1
13:37:21: [INFO] Routing SW68 with D68
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW68:2' at (358775000, 130175000) with pad 'D68:2' at (361315000, 137855000) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(358775000, 130175000), (358775000, 135315000)]
13:37:21: [INFO] Adding track segment (B.Cu): [(358775000, 135315000), (361315000, 137855000)]
13:37:21: [INFO] Routing SW67 with D67
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW67:2' at (282406776, 131987483) with pad 'D67:2' at (286488032, 138971561) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(282406776, 131987483), (283475441, 137015162)]
13:37:21: [INFO] Adding track segment (B.Cu): [(283475441, 137015162), (286488032, 138971561)]
13:37:21: [INFO] Routing SW66 with D66
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW66:2' at (241680417, 139670358) with pad 'D66:2' at (245761673, 146654436) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(241680417, 139670358), (242749082, 144698036)]
13:37:21: [INFO] Adding track segment (B.Cu): [(242749082, 144698036), (245761673, 146654436)]
13:37:21: [INFO] Routing SW65 with D65
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW65:2' at (193770768, 146324358) with pad 'D65:2' at (194658501, 154364626) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(193770768, 146324358), (192702101, 151352034)]
13:37:21: [INFO] Adding track segment (B.Cu): [(192702101, 151352034), (194658501, 154364626)]
13:37:21: [INFO] Routing SW64 with D64
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW64:2' at (163490987, 139888192) with pad 'D64:2' at (164378720, 147928460) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(163490987, 139888192), (162422320, 144915869)]
13:37:21: [INFO] Adding track segment (B.Cu): [(162422320, 144915869), (164378720, 147928460)]
13:37:21: [INFO] Routing SW63 with D63
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW63:2' at (129752269, 133690585) with pad 'D63:2' at (130640002, 141730853) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(129752269, 133690585), (128683602, 138718263)]
13:37:21: [INFO] Adding track segment (B.Cu): [(128683602, 138718263), (130640002, 141730853)]
13:37:21: [INFO] Routing SW62 with D62
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW62:2' at (73977500, 130175000) with pad 'D62:2' at (76517500, 137855000) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(73977500, 130175000), (73977500, 135315000)]
13:37:21: [INFO] Adding track segment (B.Cu): [(73977500, 135315000), (76517500, 137855000)]
13:37:21: [INFO] Routing SW61 with D61
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW61:2' at (317817500, 111125000) with pad 'D61:2' at (320357500, 118805000) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(317817500, 111125000), (317817500, 116265000)]
13:37:21: [INFO] Adding track segment (B.Cu): [(317817500, 116265000), (320357500, 118805000)]
13:37:21: [INFO] Routing SW60 with D60
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW60:2' at (298767500, 111125000) with pad 'D60:2' at (301307500, 118805000) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(298767500, 111125000), (298767500, 116265000)]
13:37:21: [INFO] Adding track segment (B.Cu): [(298767500, 116265000), (301307500, 118805000)]
13:37:21: [INFO] Routing SW59 with D59
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW59:2' at (277316337, 112620121) with pad 'D59:2' at (281397593, 119604199) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(277316337, 112620121), (278385002, 117647799)]
13:37:21: [INFO] Adding track segment (B.Cu): [(278385002, 117647799), (281397593, 119604199)]
13:37:21: [INFO] Routing SW58 with D58
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW58:2' at (258682625, 116580839) with pad 'D58:2' at (262763881, 123564917) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(258682625, 116580839), (259751290, 121608517)]
13:37:21: [INFO] Adding track segment (B.Cu): [(259751290, 121608517), (262763881, 123564917)]
13:37:21: [INFO] Routing SW57 with D57
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW57:2' at (240048913, 120541557) with pad 'D57:2' at (244130169, 127525635) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(240048913, 120541557), (241117578, 125569236)]
13:37:21: [INFO] Adding track segment (B.Cu): [(241117578, 125569236), (244130169, 127525635)]
13:37:21: [INFO] Routing SW56 with D56
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW56:2' at (221415201, 124502275) with pad 'D56:2' at (225496457, 131486353) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(221415201, 124502275), (222483867, 129529954)]
13:37:21: [INFO] Adding track segment (B.Cu): [(222483867, 129529954), (225496457, 131486353)]
13:37:21: [INFO] Routing SW55 with D55
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW55:2' at (189812158, 126007341) with pad 'D55:2' at (190699891, 134047609) using coordinate system rotated by 12.0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(189812158, 126007341), (188743491, 131035019)]
13:37:22: [INFO] Adding track segment (B.Cu): [(188743491, 131035019), (190699891, 134047609)]
13:37:22: [INFO] Routing SW54 with D54
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW54:2' at (171178447, 122046623) with pad 'D54:2' at (172066180, 130086891) using coordinate system rotated by 12.0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(171178447, 122046623), (170109780, 127074299)]
13:37:22: [INFO] Adding track segment (B.Cu): [(170109780, 127074299), (172066180, 130086891)]
13:37:22: [INFO] Routing SW53 with D53
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW53:2' at (152544735, 118085906) with pad 'D53:2' at (153432468, 126126174) using coordinate system rotated by 12.0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(152544735, 118085906), (151476068, 123113582)]
13:37:22: [INFO] Adding track segment (B.Cu): [(151476068, 123113582), (153432468, 126126174)]
13:37:22: [INFO] Routing SW52 with D52
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW52:2' at (133911023, 114125188) with pad 'D52:2' at (134798756, 122165456) using coordinate system rotated by 12.0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(133911023, 114125188), (132842356, 119152864)]
13:37:22: [INFO] Adding track segment (B.Cu): [(132842356, 119152864), (134798756, 122165456)]
13:37:22: [INFO] Routing SW51 with D51
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW51:2' at (112077500, 111125000) with pad 'D51:2' at (114617500, 118805000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(112077500, 111125000), (112077500, 116265000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(112077500, 116265000), (114617500, 118805000)]
13:37:22: [INFO] Routing SW50 with D50
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW50:2' at (81121250, 111125000) with pad 'D50:2' at (83661250, 118805000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(81121250, 111125000), (81121250, 116265000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(81121250, 116265000), (83661250, 118805000)]
13:37:22: [INFO] Routing SW49 with D49
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW49:2' at (52070000, 90170000) with pad 'D49:2' at (54610000, 97850000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(52070000, 90170000), (52070000, 95310000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(52070000, 95310000), (54610000, 97850000)]
13:37:22: [INFO] Routing SW48 with D48
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW48:2' at (370205000, 111125000) with pad 'D48:2' at (372745000, 118805000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(370205000, 111125000), (370205000, 116265000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(370205000, 116265000), (372745000, 118805000)]
13:37:22: [INFO] Routing SW47 with D47
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW47:2' at (353536250, 111125000) with pad 'D47:2' at (356076250, 118805000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(353536250, 111125000), (353536250, 116265000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(353536250, 116265000), (356076250, 118805000)]
13:37:22: [INFO] Routing SW46 with D46
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW46:2' at (344011250, 111125000) with pad 'D46:2' at (346551250, 118805000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(344011250, 111125000), (344011250, 116265000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(344011250, 116265000), (346551250, 118805000)]
13:37:22: [INFO] Routing SW45 with D45
13:37:22: [INFO] Using internal autorouter method
13:37:22: [INFO] Routing pad 'SW45:2' at (323532500, 92075000) with pad 'D45:2' at (326072500, 99755000) using coordinate system rotated by 0 degree(s)
13:37:22: [INFO] Adding track segment (B.Cu): [(323532500, 92075000), (323532500, 97215000)]
13:37:22: [INFO] Adding track segment (B.Cu): [(323532500, 97215000), (326072500, 99755000)]
13:37:22: [INFO] Routing SW44 with D44
13:37:22: [INFO] Using internal autorouter method
