=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBPWcAGJBNAXy3AIwXCwmngE4kDzsqBGD8AXQwCgwUfEXQU88ALSjM2AMb5wAYgCGa9eDaUMBWnAgL4yuSdOaKnPfXxcWWzjTrhD2JSnce94AO74E9jA4AZitheA5iMgtAtF4BIQZCVFkfGyQo7A4dUJdjUxNzTMDQxOYSLSyOXQpK7hrAx31U8PSKwJCnRIiqeUU3D3dC8ErYvkFreCIU33h-CgRsp1ylfIKtBbqm0tb5wOrsDc2DPvUNChnESPX2kpFkimWBweuOUfiJpJJzvx3sIMWtjYiD1nH1VgotP8ql4oR0mo8nl4LnM-oEACy3SZXChQt7jMKfaZpDLgNEAj62L7YC4RcoUMlcTFwCLoLQMuGk9FeBl4oQAJy6FC692wEjgQXSDzBqyGULi+L5QIoAuJQp+JKoHKoGOisWiADZ5QkfnSio1hhgOVkdUVeR9kKzduaFhyFjbwAs7QSJabwP9zf8Of93f8vYkJSCEQMkWlfQyctL8jHZmzqAmjP1o98WnGMF7FVIqsrBdhEihIuJ1VKM+ChlQUF4qAAORsYRit6FjY3wfXJNqG+oN+ot+rtrsfFDXAcHDBDmcjmdj94E3sk-7Tv2zmEYBebpf4xKr7OXElk9tLPpPOfNZl9+l7Xg8IA
13:28:26: [INFO] Add Net-(D30-A) net
13:28:26: [INFO] Add Net-(D31-A) net
13:28:26: [INFO] Add Net-(D32-A) net
13:28:26: [INFO] Add Net-(D33-A) net
13:28:26: [INFO] Add Net-(D34-A) net
13:28:26: [INFO] Add Net-(D35-A) net
13:28:26: [INFO] Add Net-(D36-A) net
13:28:26: [INFO] Add Net-(D37-A) net
13:28:26: [INFO] Add Net-(D38-A) net
13:28:26: [INFO] Add Net-(D39-A) net
13:28:26: [INFO] Add Net-(D4-A) net
13:28:26: [INFO] Add Net-(D40-A) net
13:28:26: [INFO] Add Net-(D41-A) net
13:28:26: [INFO] Add Net-(D42-A) net
13:28:26: [INFO] Add Net-(D43-A) net
13:28:26: [INFO] Add Net-(D44-A) net
13:28:26: [INFO] Add Net-(D45-A) net
13:28:26: [INFO] Add Net-(D46-A) net
13:28:26: [INFO] Add Net-(D47-A) net
13:28:26: [INFO] Add Net-(D48-A) net
13:28:26: [INFO] Add Net-(D49-A) net
13:28:26: [INFO] Add Net-(D5-A) net
13:28:26: [INFO] Add Net-(D50-A) net
13:28:26: [INFO] Add Net-(D51-A) net
13:28:26: [INFO] Add Net-(D52-A) net
13:28:26: [INFO] Add Net-(D53-A) net
13:28:26: [INFO] Add Net-(D54-A) net
13:28:26: [INFO] Add Net-(D55-A) net
13:28:26: [INFO] Add Net-(D56-A) net
13:28:26: [INFO] Add Net-(D57-A) net
13:28:26: [INFO] Add Net-(D58-A) net
13:28:26: [INFO] Add Net-(D59-A) net
13:28:26: [INFO] Add Net-(D6-A) net
13:28:26: [INFO] Add Net-(D60-A) net
13:28:26: [INFO] Add Net-(D61-A) net
13:28:26: [INFO] Add Net-(D62-A) net
13:28:26: [INFO] Add Net-(D63-A) net
13:28:26: [INFO] Add Net-(D64-A) net
13:28:26: [INFO] Add Net-(D65-A) net
13:28:26: [INFO] Add Net-(D66-A) net
13:28:26: [INFO] Add Net-(D67-A) net
13:28:26: [INFO] Add Net-(D68-A) net
13:28:26: [INFO] Add Net-(D7-A) net
13:28:26: [INFO] Add Net-(D8-A) net
13:28:26: [INFO] Add Net-(D9-A) net
13:28:26: [INFO] Add ROW0 net
13:28:26: [INFO] Add ROW1 net
13:28:26: [INFO] Add ROW2 net
13:28:26: [INFO] Add ROW3 net
13:28:26: [INFO] Add ROW4 net
13:28:26: [INFO] Add SW1 footprint
13:28:26: [INFO] Add D1 footprint
13:28:26: [INFO] Add SW2 footprint
13:28:26: [INFO] Add D2 footprint
13:28:26: [INFO] Add SW3 footprint
13:28:26: [INFO] Add D3 footprint
13:28:26: [INFO] Add SW4 footprint
13:28:26: [INFO] Add D4 footprint
13:28:26: [INFO] Add SW5 footprint
13:28:26: [INFO] Add D5 footprint
13:28:26: [INFO] Add SW6 footprint
13:28:26: [INFO] Add D6 footprint
13:28:26: [INFO] Add SW7 footprint
13:28:26: [INFO] Add D7 footprint
13:28:26: [INFO] Add SW8 footprint
13:28:26: [INFO] Add D8 footprint
13:28:26: [INFO] Add SW9 footprint
13:28:26: [INFO] Add D9 footprint
13:28:26: [INFO] Add SW10 footprint
13:28:26: [INFO] Add D10 footprint
13:28:26: [INFO] Add SW11 footprint
13:28:26: [INFO] Add D11 footprint
13:28:26: [INFO] Add SW12 footprint
13:28:27: [INFO] Add D12 footprint
13:28:27: [INFO] Add SW13 footprint
13:28:27: [INFO] Add D13 footprint
13:28:27: [INFO] Add SW14 footprint
13:28:27: [INFO] Add D14 footprint
13:28:27: [INFO] Add ST14 footprint
13:28:27: [INFO] Add SW15 footprint
13:28:27: [INFO] Add D15 footprint
13:28:27: [INFO] Add SW16 footprint
13:28:27: [INFO] Add D16 footprint
13:28:27: [INFO] Add SW17 footprint
13:28:27: [INFO] Add D17 footprint
13:28:27: [INFO] Add SW18 footprint
13:28:27: [INFO] Add D18 footprint
13:28:27: [INFO] Add SW19 footprint
13:28:27: [INFO] Add D19 footprint
13:28:27: [INFO] Add SW20 footprint
13:28:27: [INFO] Add D20 footprint
13:28:27: [INFO] Add SW21 footprint
13:28:27: [INFO] Add D21 footprint
13:28:27: [INFO] Add SW22 footprint
13:28:27: [INFO] Add D22 footprint
13:28:27: [INFO] Add SW23 footprint
13:28:27: [INFO] Add D23 footprint
13:28:27: [INFO] Add SW24 footprint
13:28:27: [INFO] Add D24 footprint
13:28:27: [INFO] Add SW25 footprint
13:28:27: [INFO] Add D25 footprint
13:28:27: [INFO] Add SW26 footprint
13:28:27: [INFO] Add D26 footprint
13:28:27: [INFO] Add SW27 footprint
13:28:27: [INFO] Add D27 footprint
13:28:27: [INFO] Add SW28 footprint
13:28:28: [INFO] Add D28 footprint
13:28:28: [INFO] Add SW29 footprint
13:28:28: [INFO] Add D29 footprint
13:28:28: [INFO] Add SW30 footprint
13:28:28: [INFO] Add D30 footprint
13:28:28: [INFO] Add SW31 footprint
13:28:28: [INFO] Add D31 footprint
13:28:28: [INFO] Add ST31 footprint
13:28:28: [INFO] Add SW32 footprint
13:28:28: [INFO] Add D32 footprint
13:28:28: [INFO] Add SW33 footprint
13:28:28: [INFO] Add D33 footprint
13:28:28: [INFO] Add SW34 footprint
13:28:28: [INFO] Add D34 footprint
13:28:28: [INFO] Add SW35 footprint
13:28:28: [INFO] Add D35 footprint
13:28:28: [INFO] Add SW36 footprint
13:28:28: [INFO] Add D36 footprint
13:28:28: [INFO] Add SW37 footprint
13:28:28: [INFO] Add D37 footprint
13:28:28: [INFO] Add SW38 footprint
13:28:28: [INFO] Add D38 footprint
13:28:28: [INFO] Add SW39 footprint
13:28:28: [INFO] Add D39 footprint
13:28:28: [INFO] Add SW40 footprint
13:28:28: [INFO] Add D40 footprint
13:28:28: [INFO] Add SW41 footprint
13:28:28: [INFO] Add D41 footprint
13:28:28: [INFO] Add SW42 footprint
13:28:28: [INFO] Add D42 footprint
13:28:28: [INFO] Add SW43 footprint
13:28:28: [INFO] Add D43 footprint
13:28:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:28: [INFO] Add ST43 footprint
13:28:28: [INFO] Add SW44 footprint
13:28:29: [INFO] Add D44 footprint
13:28:29: [INFO] Add SW45 footprint
13:28:29: [INFO] Add D45 footprint
13:28:29: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:28:29: [INFO] Add ST45 footprint
13:28:29: [INFO] Add SW46 footprint
13:28:29: [INFO] Add D46 footprint
13:28:29: [INFO] Add SW47 footprint
13:28:29: [INFO] Add D47 footprint
13:28:29: [INFO] Add SW48 footprint
13:28:29: [INFO] Add D48 footprint
13:28:29: [INFO] Add SW49 footprint
13:28:29: [INFO] Add D49 footprint
13:28:29: [INFO] Add SW50 footprint
13:28:29: [INFO] Add D50 footprint
13:28:29: [INFO] Add SW51 footprint
13:28:29: [INFO] Add D51 footprint
13:28:29: [INFO] Add SW52 footprint
13:28:29: [INFO] Add D52 footprint
13:28:29: [INFO] Add SW53 footprint
13:28:29: [INFO] Add D53 footprint
13:28:29: [INFO] Add SW54 footprint
13:28:29: [INFO] Add D54 footprint
13:28:29: [INFO] Add SW55 footprint
13:28:29: [INFO] Add D55 footprint
13:28:29: [INFO] Add SW56 footprint
13:28:29: [INFO] Add D56 footprint
13:28:29: [INFO] Add SW57 footprint
13:28:29: [INFO] Add D57 footprint
13:28:29: [INFO] Add ST57 footprint
13:28:29: [INFO] Add SW58 footprint
13:28:29: [INFO] Add D58 footprint
13:28:29: [INFO] Add SW59 footprint
13:28:29: [INFO] Add D59 footprint
13:28:29: [INFO] Add SW60 footprint
13:28:29: [INFO] Add D60 footprint
13:28:29: [INFO] Add SW61 footprint
13:28:30: [INFO] Add D61 footprint
13:28:30: [INFO] Add ST61 footprint
13:28:30: [INFO] Add SW62 footprint
13:28:30: [INFO] Add D62 footprint
13:28:30: [INFO] Add SW63 footprint
13:28:30: [INFO] Add D63 footprint
13:28:30: [WARNING] No stabilizer footprint for width 2.5u, using 2u as fallback
13:28:30: [INFO] Add ST63 footprint
13:28:30: [INFO] Add SW64 footprint
13:28:30: [INFO] Add D64 footprint
13:28:30: [INFO] Add SW65 footprint
13:28:30: [INFO] Add D65 footprint
13:28:30: [INFO] Add SW66 footprint
13:28:30: [INFO] Add D66 footprint
13:28:30: [INFO] Add SW67 footprint
13:28:30: [INFO] Add D67 footprint
13:28:30: [INFO] Add SW68 footprint
13:28:30: [INFO] Add D68 footprint
13:28:30: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:30: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:30: [INFO] Layout offset: (33337500, 23812500)
13:28:30: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:30: [INFO] Placing additional elements for SW68
13:28:30: [INFO] Placing additional elements for SW67
13:28:30: [INFO] Placing additional elements for SW66
13:28:30: [INFO] Placing additional elements for SW65
13:28:30: [INFO] Placing additional elements for SW64
13:28:30: [INFO] Placing additional elements for SW63
13:28:30: [INFO] Placing additional elements for SW62
13:28:30: [INFO] Placing additional elements for SW61
13:28:30: [INFO] Placing additional elements for SW60
13:28:30: [INFO] Placing additional elements for SW59
13:28:30: [INFO] Placing additional elements for SW58
13:28:30: [INFO] Placing additional elements for SW57
13:28:30: [INFO] Placing additional elements for SW56
13:28:30: [INFO] Placing additional elements for SW55
13:28:30: [INFO] Placing additional elements for SW54
13:28:30: [INFO] Placing additional elements for SW53
13:28:30: [INFO] Placing additional elements for SW52
13:28:30: [INFO] Placing additional elements for SW51
13:28:30: [INFO] Placing additional elements for SW50
13:28:30: [INFO] Placing additional elements for SW49
13:28:30: [INFO] Placing additional elements for SW48
13:28:30: [INFO] Placing additional elements for SW47
13:28:30: [INFO] Placing additional elements for SW46
13:28:30: [INFO] Placing additional elements for SW45
13:28:30: [INFO] Placing additional elements for SW44
13:28:30: [INFO] Placing additional elements for SW43
13:28:30: [INFO] Placing additional elements for SW42
13:28:30: [INFO] Placing additional elements for SW41
13:28:30: [INFO] Placing additional elements for SW40
13:28:30: [INFO] Placing additional elements for SW39
13:28:30: [INFO] Placing additional elements for SW38
13:28:30: [INFO] Placing additional elements for SW37
13:28:30: [INFO] Placing additional elements for SW36
13:28:30: [INFO] Placing additional elements for SW35
13:28:30: [INFO] Placing additional elements for SW34
13:28:30: [INFO] Placing additional elements for SW33
13:28:30: [INFO] Placing additional elements for SW32
13:28:30: [INFO] Placing additional elements for SW31
13:28:30: [INFO] Placing additional elements for SW30
13:28:30: [INFO] Placing additional elements for SW29
13:28:30: [INFO] Placing additional elements for SW28
13:28:30: [INFO] Placing additional elements for SW27
13:28:30: [INFO] Placing additional elements for SW26
13:28:30: [INFO] Placing additional elements for SW25
13:28:30: [INFO] Placing additional elements for SW24
13:28:30: [INFO] Placing additional elements for SW23
13:28:30: [INFO] Placing additional elements for SW22
13:28:30: [INFO] Placing additional elements for SW21
13:28:30: [INFO] Placing additional elements for SW20
13:28:30: [INFO] Placing additional elements for SW19
13:28:30: [INFO] Placing additional elements for SW18
13:28:30: [INFO] Placing additional elements for SW17
13:28:30: [INFO] Placing additional elements for SW16
13:28:30: [INFO] Placing additional elements for SW15
13:28:30: [INFO] Placing additional elements for SW14
13:28:30: [INFO] Placing additional elements for SW13
13:28:30: [INFO] Placing additional elements for SW12
13:28:30: [INFO] Placing additional elements for SW11
13:28:30: [INFO] Placing additional elements for SW10
13:28:30: [INFO] Placing additional elements for SW9
13:28:30: [INFO] Placing additional elements for SW8
13:28:30: [INFO] Placing additional elements for SW7
13:28:30: [INFO] Placing additional elements for SW6
13:28:30: [INFO] Placing additional elements for SW5
13:28:30: [INFO] Placing additional elements for SW4
13:28:30: [INFO] Placing additional elements for SW3
13:28:30: [INFO] Placing additional elements for SW2
13:28:30: [INFO] Placing additional elements for SW1
13:28:30: [INFO] Routing SW68 with D68
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW68:2' at (388302500, 113982500) with pad 'D68:2' at (390842500, 121662500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(388302500, 113982500), (388302500, 119122500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(388302500, 119122500), (390842500, 121662500)]
13:28:30: [INFO] Routing SW67 with D67
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW67:2' at (369252500, 113982500) with pad 'D67:2' at (371792500, 121662500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(369252500, 113982500), (369252500, 119122500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(369252500, 119122500), (371792500, 121662500)]
13:28:30: [INFO] Routing SW66 with D66
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW66:2' at (350202500, 113982500) with pad 'D66:2' at (352742500, 121662500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(350202500, 113982500), (350202500, 119122500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(350202500, 119122500), (352742500, 121662500)]
13:28:30: [INFO] Routing SW65 with D65
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW65:2' at (295433750, 113982500) with pad 'D65:2' at (297973750, 121662500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(295433750, 113982500), (295433750, 119122500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(295433750, 119122500), (297973750, 121662500)]
13:28:30: [INFO] Routing SW64 with D64
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW64:2' at (262423567, 117026246) with pad 'D64:2' at (266258597, 124148503) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(262423567, 117026246), (263316117, 122088156)]
13:28:30: [INFO] Adding track segment (B.Cu): [(263316117, 122088156), (266258597, 124148503)]
13:28:30: [INFO] Routing SW63 with D63
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW63:2' at (222557318, 124055741) with pad 'D63:2' at (226392348, 131177998) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(222557318, 124055741), (223449868, 129117651)]
13:28:30: [INFO] Adding track segment (B.Cu): [(223449868, 129117651), (226392348, 131177998)]
13:28:30: [INFO] Routing SW62 with D62
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW62:2' at (179389094, 126415872) with pad 'D62:2' at (180556887, 134420261) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(179389094, 126415872), (178496542, 131477783)]
13:28:30: [INFO] Adding track segment (B.Cu): [(178496542, 131477783), (180556887, 134420261)]
13:28:30: [INFO] Routing SW61 with D61
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW61:2' at (148903139, 121040376) with pad 'D61:2' at (150070932, 129044765) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(148903139, 121040376), (148010586, 126102287)]
13:28:30: [INFO] Adding track segment (B.Cu): [(148010586, 126102287), (150070932, 129044765)]
13:28:30: [INFO] Routing SW60 with D60
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW60:2' at (118417184, 115664880) with pad 'D60:2' at (119584977, 123669269) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(118417184, 115664880), (117524631, 120726791)]
13:28:30: [INFO] Adding track segment (B.Cu): [(117524631, 120726791), (119584977, 123669269)]
13:28:30: [INFO] Routing SW59 with D59
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW59:2' at (54927500, 113982500) with pad 'D59:2' at (57467500, 121662500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(54927500, 113982500), (54927500, 119122500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(54927500, 119122500), (57467500, 121662500)]
13:28:30: [INFO] Routing SW58 with D58
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW58:2' at (369252500, 94932500) with pad 'D58:2' at (371792500, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(369252500, 94932500), (369252500, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(369252500, 100072500), (371792500, 102612500)]
13:28:30: [INFO] Routing SW57 with D57
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW57:2' at (335915000, 94932500) with pad 'D57:2' at (338455000, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(335915000, 94932500), (335915000, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(335915000, 100072500), (338455000, 102612500)]
13:28:30: [INFO] Routing SW56 with D56
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW56:2' at (307340000, 94932500) with pad 'D56:2' at (309880000, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(307340000, 94932500), (307340000, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(307340000, 100072500), (309880000, 102612500)]
13:28:30: [INFO] Routing SW55 with D55
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW55:2' at (288290000, 94932500) with pad 'D55:2' at (290830000, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(288290000, 94932500), (288290000, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(288290000, 100072500), (290830000, 102612500)]
13:28:30: [INFO] Routing SW54 with D54
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW54:2' at (261460643, 97852158) with pad 'D54:2' at (265295673, 104974415) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(261460643, 97852158), (262353194, 102914068)]
13:28:30: [INFO] Adding track segment (B.Cu): [(262353194, 102914068), (265295673, 104974415)]
13:28:30: [INFO] Routing SW53 with D53
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW53:2' at (242700055, 101160156) with pad 'D53:2' at (246535085, 108282413) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(242700055, 101160156), (243592606, 106222067)]
13:28:30: [INFO] Adding track segment (B.Cu): [(243592606, 106222067), (246535085, 108282413)]
13:28:30: [INFO] Routing SW52 with D52
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW52:2' at (223939467, 104468154) with pad 'D52:2' at (227774497, 111590411) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(223939467, 104468154), (224832017, 109530064)]
13:28:30: [INFO] Adding track segment (B.Cu): [(224832017, 109530064), (227774497, 111590411)]
13:28:30: [INFO] Routing SW51 with D51
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW51:2' at (205178880, 107776152) with pad 'D51:2' at (209013910, 114898409) using coordinate system rotated by 350.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(205178880, 107776152), (206071431, 112838063)]
13:28:30: [INFO] Adding track segment (B.Cu): [(206071431, 112838063), (209013910, 114898409)]
13:28:30: [INFO] Routing SW50 with D50
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW50:2' at (180352019, 107241785) with pad 'D50:2' at (181519812, 115246174) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(180352019, 107241785), (179459467, 112303696)]
13:28:30: [INFO] Adding track segment (B.Cu): [(179459467, 112303696), (181519812, 115246174)]
13:28:30: [INFO] Routing SW49 with D49
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW49:2' at (161591431, 103933787) with pad 'D49:2' at (162759224, 111938176) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(161591431, 103933787), (160698878, 108995698)]
13:28:30: [INFO] Adding track segment (B.Cu): [(160698878, 108995698), (162759224, 111938176)]
13:28:30: [INFO] Routing SW48 with D48
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW48:2' at (142830843, 100625789) with pad 'D48:2' at (143998636, 108630178) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(142830843, 100625789), (141938291, 105687700)]
13:28:30: [INFO] Adding track segment (B.Cu): [(141938291, 105687700), (143998636, 108630178)]
13:28:30: [INFO] Routing SW47 with D47
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW47:2' at (124070256, 97317792) with pad 'D47:2' at (125238049, 105322181) using coordinate system rotated by 10.0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(124070256, 97317792), (123177704, 102379703)]
13:28:30: [INFO] Adding track segment (B.Cu): [(123177704, 102379703), (125238049, 105322181)]
13:28:30: [INFO] Routing SW46 with D46
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW46:2' at (97790000, 94932500) with pad 'D46:2' at (100330000, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(97790000, 94932500), (97790000, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(97790000, 100072500), (100330000, 102612500)]
13:28:30: [INFO] Routing SW45 with D45
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW45:2' at (64452500, 94932500) with pad 'D45:2' at (66992500, 102612500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(64452500, 94932500), (64452500, 100072500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(64452500, 100072500), (66992500, 102612500)]
13:28:30: [INFO] Routing SW44 with D44
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW44:2' at (388302500, 75882500) with pad 'D44:2' at (390842500, 83562500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(388302500, 75882500), (388302500, 81022500)]
13:28:30: [INFO] Adding track segment (B.Cu): [(388302500, 81022500), (390842500, 83562500)]
13:28:30: [INFO] Routing SW43 with D43
13:28:30: [INFO] Using internal autorouter method
13:28:30: [INFO] Routing pad 'SW43:2' at (343058750, 75882500) with pad 'D43:2' at (345598750, 83562500) using coordinate system rotated by 0 degree(s)
13:28:30: [INFO] Adding track segment (B.Cu): [(343058750, 75882500), (343058750, 81022500)]
