=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xwCMOU5Sk9Dm1+ATEXlgMzvj4AsPfAFZ2pcrgB0LIdg4A2QVmTgAulgBQYcAE9xUodWjwkAQzPmmCKoWI1jiBo1ngqFHlTbUq3L1gG+RXwVfZTVNCCMERHMLagB3cgoJGWoWAlE7KMd6S3A0t1SsTwQ0nxK-HjTA8oUwrUjTGJMeBPgk5BSETnTbBods3O6CrqKebrLwbv8R6smsWo162mimlvIWfWc+HrgI5ezoLaxh8G3i064ebemL2e2F8MzGmLW25OcDG13wMjf8BFalHe1AMwwggKSnXABmKe3sB1ecA2HQ+WBEdTE8GQ1F08Ek0niiU2IPmqhUQA
13:29:55: [INFO] Add Net-(D4-A) net
13:29:55: [INFO] Add Net-(D40-A) net
13:29:55: [INFO] Add Net-(D41-A) net
13:29:55: [INFO] Add Net-(D5-A) net
13:29:55: [INFO] Add Net-(D6-A) net
13:29:55: [INFO] Add Net-(D7-A) net
13:29:55: [INFO] Add Net-(D8-A) net
13:29:55: [INFO] Add Net-(D9-A) net
13:29:55: [INFO] Add ROW0 net
13:29:55: [INFO] Add ROW1 net
13:29:55: [INFO] Add ROW2 net
13:29:55: [INFO] Add ROW3 net
13:29:55: [INFO] Add ROW4 net
13:29:55: [INFO] Add ROW5 net
13:29:55: [INFO] Add SW1 footprint
13:29:55: [INFO] Add D1 footprint
13:29:55: [INFO] Add SW2 footprint
13:29:55: [INFO] Add D2 footprint
13:29:55: [INFO] Add SW3 footprint
13:29:55: [INFO] Add D3 footprint
13:29:55: [INFO] Add SW4 footprint
13:29:55: [INFO] Add D4 footprint
13:29:55: [INFO] Add SW5 footprint
13:29:55: [INFO] Add D5 footprint
13:29:55: [INFO] Add SW6 footprint
13:29:55: [INFO] Add D6 footprint
13:29:55: [INFO] Add SW7 footprint
13:29:55: [INFO] Add D7 footprint
13:29:55: [INFO] Add SW8 footprint
13:29:55: [INFO] Add D8 footprint
13:29:55: [INFO] Add SW9 footprint
13:29:55: [INFO] Add D9 footprint
13:29:55: [INFO] Add SW10 footprint
13:29:56: [INFO] Add D10 footprint
13:29:56: [INFO] Add SW11 footprint
13:29:56: [INFO] Add D11 footprint
13:29:56: [INFO] Add SW12 footprint
13:29:56: [INFO] Add D12 footprint
13:29:56: [INFO] Add SW13 footprint
13:29:56: [INFO] Add D13 footprint
13:29:56: [INFO] Add SW14 footprint
13:29:56: [INFO] Add D14 footprint
13:29:56: [INFO] Add SW15 footprint
13:29:56: [INFO] Add D15 footprint
13:29:56: [INFO] Add SW16 footprint
13:29:56: [INFO] Add D16 footprint
13:29:56: [INFO] Add SW17 footprint
13:29:56: [INFO] Add D17 footprint
13:29:56: [INFO] Add SW18 footprint
13:29:56: [INFO] Add D18 footprint
13:29:56: [INFO] Add SW19 footprint
13:29:56: [INFO] Add D19 footprint
13:29:56: [INFO] Add SW20 footprint
13:29:56: [INFO] Add D20 footprint
13:29:56: [INFO] Add SW21 footprint
13:29:56: [INFO] Add D21 footprint
13:29:56: [INFO] Add SW22 footprint
13:29:56: [INFO] Add D22 footprint
13:29:56: [INFO] Add SW23 footprint
13:29:56: [INFO] Add D23 footprint
13:29:56: [INFO] Add SW24 footprint
13:29:56: [INFO] Add D24 footprint
13:29:56: [INFO] Add SW25 footprint
13:29:56: [INFO] Add D25 footprint
13:29:56: [INFO] Add SW26 footprint
13:29:56: [INFO] Add D26 footprint
13:29:56: [INFO] Add SW27 footprint
13:29:56: [INFO] Add D27 footprint
13:29:56: [INFO] Add SW28 footprint
13:29:56: [INFO] Add D28 footprint
13:29:57: [INFO] Add SW29 footprint
13:29:57: [INFO] Add D29 footprint
13:29:57: [INFO] Add SW30 footprint
13:29:57: [INFO] Add D30 footprint
13:29:57: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:57: [INFO] Add ST30 footprint
13:29:57: [INFO] Add SW31 footprint
13:29:57: [INFO] Add D31 footprint
13:29:57: [INFO] Add SW32 footprint
13:29:57: [INFO] Add D32 footprint
13:29:57: [INFO] Add SW33 footprint
13:29:57: [INFO] Add D33 footprint
13:29:57: [INFO] Add SW34 footprint
13:29:57: [INFO] Add D34 footprint
13:29:57: [INFO] Add SW35 footprint
13:29:57: [INFO] Add D35 footprint
13:29:57: [INFO] Add SW36 footprint
13:29:57: [INFO] Add D36 footprint
13:29:57: [INFO] Add SW37 footprint
13:29:57: [INFO] Add D37 footprint
13:29:57: [INFO] Add SW38 footprint
13:29:57: [INFO] Add D38 footprint
13:29:57: [INFO] Add SW39 footprint
13:29:57: [INFO] Add D39 footprint
13:29:57: [INFO] Add SW40 footprint
13:29:57: [INFO] Add D40 footprint
13:29:57: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:57: [INFO] Add ST40 footprint
13:29:57: [INFO] Add SW41 footprint
13:29:57: [INFO] Add D41 footprint
13:29:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:57: [INFO] Layout offset: (28575000, 28575000)
13:29:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:57: [INFO] Placing additional elements for SW41
13:29:57: [INFO] Placing additional elements for SW40
13:29:57: [INFO] Placing additional elements for SW39
13:29:57: [INFO] Placing additional elements for SW38
13:29:57: [INFO] Placing additional elements for SW37
13:29:57: [INFO] Placing additional elements for SW36
13:29:57: [INFO] Placing additional elements for SW35
13:29:57: [INFO] Placing additional elements for SW34
13:29:57: [INFO] Placing additional elements for SW33
13:29:57: [INFO] Placing additional elements for SW32
13:29:57: [INFO] Placing additional elements for SW31
13:29:57: [INFO] Placing additional elements for SW30
13:29:57: [INFO] Placing additional elements for SW29
13:29:57: [INFO] Placing additional elements for SW28
13:29:57: [INFO] Placing additional elements for SW27
13:29:57: [INFO] Placing additional elements for SW26
13:29:57: [INFO] Placing additional elements for SW25
13:29:57: [INFO] Placing additional elements for SW24
13:29:57: [INFO] Placing additional elements for SW23
13:29:57: [INFO] Placing additional elements for SW22
13:29:57: [INFO] Placing additional elements for SW21
13:29:57: [INFO] Placing additional elements for SW20
13:29:57: [INFO] Placing additional elements for SW19
13:29:57: [INFO] Placing additional elements for SW18
13:29:57: [INFO] Placing additional elements for SW17
13:29:57: [INFO] Placing additional elements for SW16
13:29:57: [INFO] Placing additional elements for SW15
13:29:57: [INFO] Placing additional elements for SW14
13:29:57: [INFO] Placing additional elements for SW13
13:29:57: [INFO] Placing additional elements for SW12
13:29:57: [INFO] Placing additional elements for SW11
13:29:57: [INFO] Placing additional elements for SW10
13:29:57: [INFO] Placing additional elements for SW9
13:29:57: [INFO] Placing additional elements for SW8
13:29:57: [INFO] Placing additional elements for SW7
13:29:57: [INFO] Placing additional elements for SW6
13:29:57: [INFO] Placing additional elements for SW5
13:29:57: [INFO] Placing additional elements for SW4
13:29:57: [INFO] Placing additional elements for SW3
13:29:57: [INFO] Placing additional elements for SW2
13:29:57: [INFO] Placing additional elements for SW1
13:29:57: [INFO] Routing SW41 with D41
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW41:2' at (176371250, 156845000) with pad 'D41:2' at (178911250, 164525000) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(176371250, 156845000), (176371250, 161985000)]
13:29:57: [INFO] Adding track segment (B.Cu): [(176371250, 161985000), (178911250, 164525000)]
13:29:57: [INFO] Routing SW40 with D40
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW40:2' at (162083750, 133032500) with pad 'D40:2' at (164623750, 140712500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(162083750, 133032500), (162083750, 138172500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(162083750, 138172500), (164623750, 140712500)]
13:29:57: [INFO] Routing SW39 with D39
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW39:2' at (121602500, 133032500) with pad 'D39:2' at (124142500, 140712500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(121602500, 133032500), (121602500, 138172500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(121602500, 138172500), (124142500, 140712500)]
13:29:57: [INFO] Routing SW38 with D38
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW38:2' at (93027500, 133032500) with pad 'D38:2' at (95567500, 140712500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(93027500, 133032500), (93027500, 138172500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(93027500, 138172500), (95567500, 140712500)]
13:29:57: [INFO] Routing SW37 with D37
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW37:2' at (45402500, 133032500) with pad 'D37:2' at (47942500, 140712500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(45402500, 133032500), (45402500, 138172500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(45402500, 138172500), (47942500, 140712500)]
13:29:57: [INFO] Routing SW36 with D36
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW36:2' at (178752500, 113982500) with pad 'D36:2' at (181292500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(178752500, 113982500), (178752500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(178752500, 119122500), (181292500, 121662500)]
13:29:57: [INFO] Routing SW35 with D35
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW35:2' at (159702500, 113982500) with pad 'D35:2' at (162242500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(159702500, 113982500), (159702500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(159702500, 119122500), (162242500, 121662500)]
13:29:57: [INFO] Routing SW34 with D34
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW34:2' at (140652500, 113982500) with pad 'D34:2' at (143192500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(140652500, 113982500), (140652500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(140652500, 119122500), (143192500, 121662500)]
13:29:57: [INFO] Routing SW33 with D33
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW33:2' at (121602500, 113982500) with pad 'D33:2' at (124142500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(121602500, 113982500), (121602500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(121602500, 119122500), (124142500, 121662500)]
13:29:57: [INFO] Routing SW32 with D32
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW32:2' at (102552500, 113982500) with pad 'D32:2' at (105092500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(102552500, 113982500), (102552500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(102552500, 119122500), (105092500, 121662500)]
13:29:57: [INFO] Routing SW31 with D31
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW31:2' at (83502500, 113982500) with pad 'D31:2' at (86042500, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(83502500, 113982500), (83502500, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(83502500, 119122500), (86042500, 121662500)]
13:29:57: [INFO] Routing SW30 with D30
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW30:2' at (52546250, 113982500) with pad 'D30:2' at (55086250, 121662500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(52546250, 113982500), (52546250, 119122500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(52546250, 119122500), (55086250, 121662500)]
13:29:57: [INFO] Routing SW29 with D29
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW29:2' at (169227500, 94932500) with pad 'D29:2' at (171767500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(169227500, 94932500), (169227500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(169227500, 100072500), (171767500, 102612500)]
13:29:57: [INFO] Routing SW28 with D28
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW28:2' at (150177500, 94932500) with pad 'D28:2' at (152717500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(150177500, 94932500), (150177500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(150177500, 100072500), (152717500, 102612500)]
13:29:57: [INFO] Routing SW27 with D27
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW27:2' at (131127500, 94932500) with pad 'D27:2' at (133667500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(131127500, 94932500), (131127500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(131127500, 100072500), (133667500, 102612500)]
13:29:57: [INFO] Routing SW26 with D26
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW26:2' at (112077500, 94932500) with pad 'D26:2' at (114617500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(112077500, 94932500), (112077500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(112077500, 100072500), (114617500, 102612500)]
13:29:57: [INFO] Routing SW25 with D25
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW25:2' at (93027500, 94932500) with pad 'D25:2' at (95567500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(93027500, 94932500), (93027500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(93027500, 100072500), (95567500, 102612500)]
13:29:57: [INFO] Routing SW24 with D24
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW24:2' at (73977500, 94932500) with pad 'D24:2' at (76517500, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(73977500, 94932500), (73977500, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(73977500, 100072500), (76517500, 102612500)]
13:29:57: [INFO] Routing SW23 with D23
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW23:2' at (47783750, 94932500) with pad 'D23:2' at (50323750, 102612500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(47783750, 94932500), (47783750, 100072500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(47783750, 100072500), (50323750, 102612500)]
13:29:57: [INFO] Routing SW22 with D22
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW22:2' at (164465000, 75882500) with pad 'D22:2' at (167005000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(164465000, 75882500), (164465000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(164465000, 81022500), (167005000, 83562500)]
13:29:57: [INFO] Routing SW21 with D21
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW21:2' at (145415000, 75882500) with pad 'D21:2' at (147955000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(145415000, 75882500), (145415000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(145415000, 81022500), (147955000, 83562500)]
13:29:57: [INFO] Routing SW20 with D20
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW20:2' at (126365000, 75882500) with pad 'D20:2' at (128905000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(126365000, 75882500), (126365000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(126365000, 81022500), (128905000, 83562500)]
13:29:57: [INFO] Routing SW19 with D19
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW19:2' at (107315000, 75882500) with pad 'D19:2' at (109855000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(107315000, 75882500), (107315000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(107315000, 81022500), (109855000, 83562500)]
13:29:57: [INFO] Routing SW18 with D18
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW18:2' at (88265000, 75882500) with pad 'D18:2' at (90805000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(88265000, 75882500), (88265000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(88265000, 81022500), (90805000, 83562500)]
13:29:57: [INFO] Routing SW17 with D17
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW17:2' at (69215000, 75882500) with pad 'D17:2' at (71755000, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(69215000, 75882500), (69215000, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(69215000, 81022500), (71755000, 83562500)]
13:29:57: [INFO] Routing SW16 with D16
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW16:2' at (45402500, 75882500) with pad 'D16:2' at (47942500, 83562500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(45402500, 75882500), (45402500, 81022500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(45402500, 81022500), (47942500, 83562500)]
13:29:57: [INFO] Routing SW15 with D15
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW15:2' at (173990000, 56832500) with pad 'D15:2' at (176530000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(173990000, 56832500), (173990000, 61972500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(173990000, 61972500), (176530000, 64512500)]
13:29:57: [INFO] Routing SW14 with D14
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW14:2' at (154940000, 56832500) with pad 'D14:2' at (157480000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(154940000, 56832500), (154940000, 61972500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(154940000, 61972500), (157480000, 64512500)]
13:29:57: [INFO] Routing SW13 with D13
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW13:2' at (135890000, 56832500) with pad 'D13:2' at (138430000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(135890000, 56832500), (135890000, 61972500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(135890000, 61972500), (138430000, 64512500)]
13:29:57: [INFO] Routing SW12 with D12
13:29:57: [INFO] Using internal autorouter method
13:29:57: [INFO] Routing pad 'SW12:2' at (116840000, 56832500) with pad 'D12:2' at (119380000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:57: [INFO] Adding track segment (B.Cu): [(116840000, 56832500), (116840000, 61972500)]
13:29:57: [INFO] Adding track segment (B.Cu): [(116840000, 61972500), (119380000, 64512500)]
13:29:58: [INFO] Routing SW11 with D11
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW11:2' at (97790000, 56832500) with pad 'D11:2' at (100330000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(97790000, 56832500), (97790000, 61972500)]
13:29:58: [INFO] Adding track segment (B.Cu): [(97790000, 61972500), (100330000, 64512500)]
13:29:58: [INFO] Routing SW10 with D10
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW10:2' at (78740000, 56832500) with pad 'D10:2' at (81280000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(78740000, 56832500), (78740000, 61972500)]
13:29:58: [INFO] Adding track segment (B.Cu): [(78740000, 61972500), (81280000, 64512500)]
13:29:58: [INFO] Routing SW9 with D9
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW9:2' at (59690000, 56832500) with pad 'D9:2' at (62230000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(59690000, 56832500), (59690000, 61972500)]
13:29:58: [INFO] Adding track segment (B.Cu): [(59690000, 61972500), (62230000, 64512500)]
13:29:58: [INFO] Routing SW8 with D8
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW8:2' at (40640000, 56832500) with pad 'D8:2' at (43180000, 64512500) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(40640000, 56832500), (40640000, 61972500)]
13:29:58: [INFO] Adding track segment (B.Cu): [(40640000, 61972500), (43180000, 64512500)]
13:29:58: [INFO] Routing SW7 with D7
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW7:2' at (178752500, 33020000) with pad 'D7:2' at (181292500, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(178752500, 33020000), (178752500, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(178752500, 38160000), (181292500, 40700000)]
13:29:58: [INFO] Routing SW6 with D6
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW6:2' at (159702500, 33020000) with pad 'D6:2' at (162242500, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(159702500, 33020000), (159702500, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(159702500, 38160000), (162242500, 40700000)]
13:29:58: [INFO] Routing SW5 with D5
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW5:2' at (135890000, 33020000) with pad 'D5:2' at (138430000, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(135890000, 33020000), (135890000, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(135890000, 38160000), (138430000, 40700000)]
13:29:58: [INFO] Routing SW4 with D4
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW4:2' at (116840000, 33020000) with pad 'D4:2' at (119380000, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(116840000, 33020000), (116840000, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(116840000, 38160000), (119380000, 40700000)]
13:29:58: [INFO] Routing SW3 with D3
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW3:2' at (97790000, 33020000) with pad 'D3:2' at (100330000, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(97790000, 33020000), (97790000, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(97790000, 38160000), (100330000, 40700000)]
13:29:58: [INFO] Routing SW2 with D2
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW2:2' at (78740000, 33020000) with pad 'D2:2' at (81280000, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(78740000, 33020000), (78740000, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(78740000, 38160000), (81280000, 40700000)]
13:29:58: [INFO] Routing SW1 with D1
13:29:58: [INFO] Using internal autorouter method
13:29:58: [INFO] Routing pad 'SW1:2' at (40640000, 33020000) with pad 'D1:2' at (43180000, 40700000) using coordinate system rotated by 0 degree(s)
13:29:58: [INFO] Adding track segment (B.Cu): [(40640000, 33020000), (40640000, 38160000)]
13:29:58: [INFO] Adding track segment (B.Cu): [(40640000, 38160000), (43180000, 40700000)]
13:29:58: [INFO] Routing ROW0 pads
13:29:58: [INFO] Routing pad 'D1:1' at (43180000, 43500000) with pad 'D2:1' at (81280000, 43500000) using coordinate system rotated by 0 degree(s)
