=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJAaO4Ces4AGFJAX23EMwQGYAdAO0caoXArWvqZ9fbgjR4CdFhwB3AiLHgAFlJLkcAFkw1+EScJIV52shVVJwAXUwAoMFAJpRSypkL8HbClTTOq6t5mWfMxj4AbP4A7P4AHP4AnP4ITj4IrjisHtiaNvas3MwMVAkp1H5mloI2ohRaiIoUCI7OdcngdWk4dd5tvg0B3SG1mOH9Uf2x-fHdSROtGfr2jeolVkJwthiVCqEGOJwF4JxNnK17as6cfhw9F33bA6eYwzejN+MXk+ngVatbxwhH+8UWKxVEQYew0Ry5RiNZzghCQhjQ96fOwUcGEeF1Xbgo7gjrgcHnHDgwJEzDXfG3VH3GGYJ4Ul6kt4CD4bb6wnFcGkIAGlazwL7rbSgwz1JEKYUqagaFlC76qaYyuBBFGSoLwnbS4Eq8CqBkzaoSnXUZJleDEOXUI66vG6nlLAhBQUrbWqZTqqVi2X2VRqniMfaa8qbb33d1sEwmIA
13:35:35: [INFO] Add Net-(D51-A) net
13:35:35: [INFO] Add Net-(D52-A) net
13:35:35: [INFO] Add Net-(D53-A) net
13:35:35: [INFO] Add Net-(D54-A) net
13:35:35: [INFO] Add Net-(D55-A) net
13:35:35: [INFO] Add Net-(D56-A) net
13:35:35: [INFO] Add Net-(D57-A) net
13:35:35: [INFO] Add Net-(D58-A) net
13:35:35: [INFO] Add Net-(D59-A) net
13:35:35: [INFO] Add Net-(D6-A) net
13:35:35: [INFO] Add Net-(D60-A) net
13:35:35: [INFO] Add Net-(D61-A) net
13:35:35: [INFO] Add Net-(D62-A) net
13:35:35: [INFO] Add Net-(D63-A) net
13:35:35: [INFO] Add Net-(D64-A) net
13:35:35: [INFO] Add Net-(D65-A) net
13:35:35: [INFO] Add Net-(D66-A) net
13:35:35: [INFO] Add Net-(D67-A) net
13:35:35: [INFO] Add Net-(D68-A) net
13:35:35: [INFO] Add Net-(D69-A) net
13:35:35: [INFO] Add Net-(D7-A) net
13:35:35: [INFO] Add Net-(D70-A) net
13:35:35: [INFO] Add Net-(D71-A) net
13:35:35: [INFO] Add Net-(D72-A) net
13:35:35: [INFO] Add Net-(D8-A) net
13:35:35: [INFO] Add Net-(D9-A) net
13:35:35: [INFO] Add ROW0 net
13:35:35: [INFO] Add ROW1 net
13:35:35: [INFO] Add ROW2 net
13:35:35: [INFO] Add ROW3 net
13:35:35: [INFO] Add ROW4 net
13:35:35: [INFO] Add SW1 footprint
13:35:35: [INFO] Add D1 footprint
13:35:35: [INFO] Add SW2 footprint
13:35:35: [INFO] Add D2 footprint
13:35:35: [INFO] Add SW3 footprint
13:35:35: [INFO] Add D3 footprint
13:35:35: [INFO] Add SW4 footprint
13:35:35: [INFO] Add D4 footprint
13:35:35: [INFO] Add SW5 footprint
13:35:35: [INFO] Add D5 footprint
13:35:35: [INFO] Add SW6 footprint
13:35:35: [INFO] Add D6 footprint
13:35:35: [INFO] Add SW7 footprint
13:35:35: [INFO] Add D7 footprint
13:35:35: [INFO] Add SW8 footprint
13:35:35: [INFO] Add D8 footprint
13:35:35: [INFO] Add SW9 footprint
13:35:35: [INFO] Add D9 footprint
13:35:35: [INFO] Add SW10 footprint
13:35:35: [INFO] Add D10 footprint
13:35:35: [INFO] Add SW11 footprint
13:35:35: [INFO] Add D11 footprint
13:35:35: [INFO] Add SW12 footprint
13:35:36: [INFO] Add D12 footprint
13:35:36: [INFO] Add SW13 footprint
13:35:36: [INFO] Add D13 footprint
13:35:36: [INFO] Add SW14 footprint
13:35:36: [INFO] Add D14 footprint
13:35:36: [INFO] Add ST14 footprint
13:35:36: [INFO] Add SW14a footprint
13:35:36: [INFO] Add SW15 footprint
13:35:36: [INFO] Add D15 footprint
13:35:36: [INFO] Add SW16 footprint
13:35:36: [INFO] Add D16 footprint
13:35:36: [INFO] Add SW17 footprint
13:35:36: [INFO] Add D17 footprint
13:35:36: [INFO] Add SW18 footprint
13:35:36: [INFO] Add D18 footprint
13:35:36: [INFO] Add SW19 footprint
13:35:36: [INFO] Add D19 footprint
13:35:36: [INFO] Add SW20 footprint
13:35:36: [INFO] Add D20 footprint
13:35:36: [INFO] Add SW21 footprint
13:35:36: [INFO] Add D21 footprint
13:35:36: [INFO] Add SW22 footprint
13:35:36: [INFO] Add D22 footprint
13:35:36: [INFO] Add SW23 footprint
13:35:36: [INFO] Add D23 footprint
13:35:36: [INFO] Add SW24 footprint
13:35:36: [INFO] Add D24 footprint
13:35:36: [INFO] Add SW25 footprint
13:35:36: [INFO] Add D25 footprint
13:35:36: [INFO] Add SW26 footprint
13:35:36: [INFO] Add D26 footprint
13:35:36: [INFO] Add SW27 footprint
13:35:36: [INFO] Add D27 footprint
13:35:36: [INFO] Add SW28 footprint
13:35:37: [INFO] Add D28 footprint
13:35:37: [INFO] Add SW29 footprint
13:35:37: [INFO] Add D29 footprint
13:35:37: [INFO] Add SW30 footprint
13:35:37: [INFO] Add D30 footprint
13:35:37: [INFO] Add SW31 footprint
13:35:37: [INFO] Add D31 footprint
13:35:37: [INFO] Add SW32 footprint
13:35:37: [INFO] Add D32 footprint
13:35:37: [INFO] Add SW33 footprint
13:35:37: [INFO] Add D33 footprint
13:35:37: [INFO] Add SW34 footprint
13:35:37: [INFO] Add D34 footprint
13:35:37: [INFO] Add SW35 footprint
13:35:37: [INFO] Add D35 footprint
13:35:37: [INFO] Add SW36 footprint
13:35:37: [INFO] Add D36 footprint
13:35:37: [INFO] Add SW37 footprint
13:35:37: [INFO] Add D37 footprint
13:35:37: [INFO] Add SW38 footprint
13:35:37: [INFO] Add D38 footprint
13:35:37: [INFO] Add SW39 footprint
13:35:37: [INFO] Add D39 footprint
13:35:37: [INFO] Add SW40 footprint
13:35:37: [INFO] Add D40 footprint
13:35:37: [INFO] Add SW41 footprint
13:35:37: [INFO] Add D41 footprint
13:35:37: [INFO] Add SW42 footprint
13:35:37: [INFO] Add D42 footprint
13:35:37: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:37: [INFO] Add ST42 footprint
13:35:37: [INFO] Add SW43 footprint
13:35:37: [INFO] Add D43 footprint
13:35:37: [INFO] Add SW44 footprint
13:35:37: [INFO] Add D44 footprint
13:35:37: [INFO] Add SW45 footprint
13:35:38: [INFO] Add D45 footprint
13:35:38: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:38: [INFO] Add ST45 footprint
13:35:38: [INFO] Add SW45a footprint
13:35:38: [INFO] Add SW46 footprint
13:35:38: [INFO] Add D46 footprint
13:35:38: [INFO] Add SW47 footprint
13:35:38: [INFO] Add D47 footprint
13:35:38: [INFO] Add SW48 footprint
13:35:38: [INFO] Add D48 footprint
13:35:38: [INFO] Add SW49 footprint
13:35:38: [INFO] Add D49 footprint
13:35:38: [INFO] Add SW50 footprint
13:35:38: [INFO] Add D50 footprint
13:35:38: [INFO] Add SW51 footprint
13:35:38: [INFO] Add D51 footprint
13:35:38: [INFO] Add SW52 footprint
13:35:38: [INFO] Add D52 footprint
13:35:38: [INFO] Add SW53 footprint
13:35:38: [INFO] Add D53 footprint
13:35:38: [INFO] Add SW54 footprint
13:35:38: [INFO] Add D54 footprint
13:35:38: [INFO] Add SW55 footprint
13:35:38: [INFO] Add D55 footprint
13:35:38: [INFO] Add SW56 footprint
13:35:38: [INFO] Add D56 footprint
13:35:38: [INFO] Add SW57 footprint
13:35:38: [INFO] Add D57 footprint
13:35:38: [INFO] Add SW58 footprint
13:35:38: [INFO] Add D58 footprint
13:35:38: [INFO] Add SW59 footprint
13:35:38: [INFO] Add D59 footprint
13:35:38: [INFO] Add SW60 footprint
13:35:38: [INFO] Add D60 footprint
13:35:38: [INFO] Add SW61 footprint
13:35:39: [INFO] Add D61 footprint
13:35:39: [INFO] Add SW62 footprint
13:35:39: [INFO] Add D62 footprint
13:35:39: [INFO] Add SW63 footprint
13:35:39: [INFO] Add D63 footprint
13:35:39: [INFO] Add SW64 footprint
13:35:39: [INFO] Add D64 footprint
13:35:39: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:39: [INFO] Add ST64 footprint
13:35:39: [INFO] Add SW65 footprint
13:35:39: [INFO] Add D65 footprint
13:35:39: [INFO] Add SW66 footprint
13:35:39: [INFO] Add D66 footprint
13:35:39: [INFO] Add ST66 footprint
13:35:39: [INFO] Add SW66a footprint
13:35:39: [INFO] Add SW67 footprint
13:35:39: [INFO] Add D67 footprint
13:35:39: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:39: [INFO] Add ST67 footprint
13:35:39: [INFO] Add SW68 footprint
13:35:39: [INFO] Add D68 footprint
13:35:39: [INFO] Add SW69 footprint
13:35:39: [INFO] Add D69 footprint
13:35:39: [INFO] Add SW70 footprint
13:35:39: [INFO] Add D70 footprint
13:35:39: [INFO] Add SW71 footprint
13:35:39: [INFO] Add D71 footprint
13:35:39: [INFO] Add SW72 footprint
13:35:39: [INFO] Add D72 footprint
13:35:39: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:39: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:39: [INFO] Layout offset: (33337500, 33337500)
13:35:39: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:39: [INFO] Placing additional elements for SW72
13:35:39: [INFO] Placing additional elements for SW71
13:35:39: [INFO] Placing additional elements for SW70
13:35:39: [INFO] Placing additional elements for SW69
13:35:39: [INFO] Placing additional elements for SW68
13:35:39: [INFO] Placing additional elements for SW67
13:35:39: [INFO] Placing additional elements for SW66a
13:35:39: [INFO] Placing additional elements for SW66
13:35:39: [INFO] Placing additional elements for SW65
13:35:39: [INFO] Placing additional elements for SW64
13:35:39: [INFO] Placing additional elements for SW63
13:35:39: [INFO] Placing additional elements for SW62
13:35:39: [INFO] Placing additional elements for SW61
13:35:39: [INFO] Placing additional elements for SW60
13:35:39: [INFO] Placing additional elements for SW59
13:35:39: [INFO] Placing additional elements for SW58
13:35:39: [INFO] Placing additional elements for SW57
13:35:39: [INFO] Placing additional elements for SW56
13:35:39: [INFO] Placing additional elements for SW55
13:35:39: [INFO] Placing additional elements for SW54
13:35:39: [INFO] Placing additional elements for SW53
13:35:39: [INFO] Placing additional elements for SW52
13:35:39: [INFO] Placing additional elements for SW51
13:35:39: [INFO] Placing additional elements for SW50
13:35:39: [INFO] Placing additional elements for SW49
13:35:39: [INFO] Placing additional elements for SW48
13:35:39: [INFO] Placing additional elements for SW47
13:35:39: [INFO] Placing additional elements for SW46
13:35:39: [INFO] Placing additional elements for SW45a
13:35:39: [INFO] Placing additional elements for SW45
13:35:39: [INFO] Placing additional elements for SW44
13:35:39: [INFO] Placing additional elements for SW43
13:35:39: [INFO] Placing additional elements for SW42
13:35:39: [INFO] Placing additional elements for SW41
13:35:39: [INFO] Placing additional elements for SW40
13:35:39: [INFO] Placing additional elements for SW39
13:35:39: [INFO] Placing additional elements for SW38
13:35:39: [INFO] Placing additional elements for SW37
13:35:39: [INFO] Placing additional elements for SW36
13:35:39: [INFO] Placing additional elements for SW35
13:35:39: [INFO] Placing additional elements for SW34
13:35:39: [INFO] Placing additional elements for SW33
13:35:39: [INFO] Placing additional elements for SW32
13:35:39: [INFO] Placing additional elements for SW31
13:35:39: [INFO] Placing additional elements for SW30
13:35:39: [INFO] Placing additional elements for SW29
13:35:39: [INFO] Placing additional elements for SW28
13:35:39: [INFO] Placing additional elements for SW27
13:35:39: [INFO] Placing additional elements for SW26
13:35:39: [INFO] Placing additional elements for SW25
13:35:39: [INFO] Placing additional elements for SW24
13:35:39: [INFO] Placing additional elements for SW23
13:35:39: [INFO] Placing additional elements for SW22
13:35:39: [INFO] Placing additional elements for SW21
13:35:39: [INFO] Placing additional elements for SW20
13:35:39: [INFO] Placing additional elements for SW19
13:35:39: [INFO] Placing additional elements for SW18
13:35:39: [INFO] Placing additional elements for SW17
13:35:39: [INFO] Placing additional elements for SW16
13:35:39: [INFO] Placing additional elements for SW15
13:35:39: [INFO] Placing additional elements for SW14a
13:35:39: [INFO] Placing additional elements for SW14
13:35:39: [INFO] Placing additional elements for SW13
13:35:39: [INFO] Placing additional elements for SW12
13:35:39: [INFO] Placing additional elements for SW11
13:35:39: [INFO] Placing additional elements for SW10
13:35:39: [INFO] Placing additional elements for SW9
13:35:39: [INFO] Placing additional elements for SW8
13:35:39: [INFO] Placing additional elements for SW7
13:35:39: [INFO] Placing additional elements for SW6
13:35:39: [INFO] Placing additional elements for SW5
13:35:39: [INFO] Placing additional elements for SW4
13:35:39: [INFO] Placing additional elements for SW3
13:35:39: [INFO] Placing additional elements for SW2
13:35:39: [INFO] Placing additional elements for SW1
13:35:39: [INFO] Routing SW72 with D72
13:35:39: [INFO] Using internal autorouter method
13:35:39: [INFO] Routing pad 'SW72:2' at (374015000, 142557500) with pad 'D72:2' at (376555000, 150237500) using coordinate system rotated by 0 degree(s)
13:35:39: [INFO] Adding track segment (B.Cu): [(374015000, 142557500), (374015000, 147697500)]
13:35:39: [INFO] Adding track segment (B.Cu): [(374015000, 147697500), (376555000, 150237500)]
13:35:39: [INFO] Routing SW71 with D71
13:35:39: [INFO] Using internal autorouter method
13:35:39: [INFO] Routing pad 'SW71:2' at (354965000, 142557500) with pad 'D71:2' at (357505000, 150237500) using coordinate system rotated by 0 degree(s)
13:35:39: [INFO] Adding track segment (B.Cu): [(354965000, 142557500), (354965000, 147697500)]
13:35:39: [INFO] Adding track segment (B.Cu): [(354965000, 147697500), (357505000, 150237500)]
13:35:39: [INFO] Routing SW70 with D70
13:35:39: [INFO] Using internal autorouter method
13:35:39: [INFO] Routing pad 'SW70:2' at (335915000, 142557500) with pad 'D70:2' at (338455000, 150237500) using coordinate system rotated by 0 degree(s)
13:35:39: [INFO] Adding track segment (B.Cu): [(335915000, 142557500), (335915000, 147697500)]
13:35:39: [INFO] Adding track segment (B.Cu): [(335915000, 147697500), (338455000, 150237500)]
13:35:39: [INFO] Routing SW69 with D69
13:35:39: [INFO] Using internal autorouter method
13:35:39: [INFO] Routing pad 'SW69:2' at (304958750, 142557500) with pad 'D69:2' at (307498750, 150237500) using coordinate system rotated by 0 degree(s)
13:35:39: [INFO] Adding track segment (B.Cu): [(304958750, 142557500), (304958750, 147697500)]
13:35:39: [INFO] Adding track segment (B.Cu): [(304958750, 147697500), (307498750, 150237500)]
13:35:39: [INFO] Routing SW68 with D68
13:35:39: [INFO] Using internal autorouter method
13:35:39: [INFO] Routing pad 'SW68:2' at (281146250, 142557500) with pad 'D68:2' at (283686250, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(281146250, 142557500), (281146250, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(281146250, 147697500), (283686250, 150237500)]
13:35:40: [INFO] Routing SW67 with D67
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW67:2' at (243046250, 142557500) with pad 'D67:2' at (245586250, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(243046250, 142557500), (243046250, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(243046250, 147697500), (245586250, 150237500)]
13:35:40: [INFO] Routing SW66a with D66
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW66a:2' at (204946250, 142557500) with pad 'D66:2' at (212248750, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Routing SW66 with D66
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW66:2' at (209708750, 142557500) with pad 'D66:2' at (212248750, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(209708750, 142557500), (209708750, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(209708750, 147697500), (212248750, 150237500)]
13:35:40: [INFO] Routing SW65 with D65
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW65:2' at (431165000, 52070000) with pad 'D65:2' at (433705000, 59750000) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(431165000, 52070000), (431165000, 57210000)]
13:35:40: [INFO] Adding track segment (B.Cu): [(431165000, 57210000), (433705000, 59750000)]
13:35:40: [INFO] Routing SW64 with D64
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW64:2' at (171608750, 142557500) with pad 'D64:2' at (174148750, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(171608750, 142557500), (171608750, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(171608750, 147697500), (174148750, 150237500)]
13:35:40: [INFO] Routing SW63 with D63
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW63:2' at (402590000, 52070000) with pad 'D63:2' at (405130000, 59750000) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(402590000, 52070000), (402590000, 57210000)]
13:35:40: [INFO] Adding track segment (B.Cu): [(402590000, 57210000), (405130000, 59750000)]
13:35:40: [INFO] Routing SW62 with D62
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW62:2' at (138271250, 142557500) with pad 'D62:2' at (140811250, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(138271250, 142557500), (138271250, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(138271250, 147697500), (140811250, 150237500)]
13:35:40: [INFO] Routing SW61 with D61
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW61:2' at (114458750, 142557500) with pad 'D61:2' at (116998750, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(114458750, 142557500), (114458750, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(114458750, 147697500), (116998750, 150237500)]
13:35:40: [INFO] Routing SW60 with D60
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW60:2' at (90646250, 142557500) with pad 'D60:2' at (93186250, 150237500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(90646250, 142557500), (90646250, 147697500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(90646250, 147697500), (93186250, 150237500)]
13:35:40: [INFO] Routing SW59 with D59
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW59:2' at (374015000, 123507500) with pad 'D59:2' at (376555000, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(374015000, 123507500), (374015000, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(374015000, 128647500), (376555000, 131187500)]
13:35:40: [INFO] Routing SW58 with D58
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW58:2' at (354965000, 123507500) with pad 'D58:2' at (357505000, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(354965000, 123507500), (354965000, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(354965000, 128647500), (357505000, 131187500)]
13:35:40: [INFO] Routing SW57 with D57
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW57:2' at (328771250, 123507500) with pad 'D57:2' at (331311250, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(328771250, 123507500), (328771250, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(328771250, 128647500), (331311250, 131187500)]
13:35:40: [INFO] Routing SW56 with D56
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW56:2' at (302577500, 123507500) with pad 'D56:2' at (305117500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(302577500, 123507500), (302577500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(302577500, 128647500), (305117500, 131187500)]
13:35:40: [INFO] Routing SW55 with D55
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW55:2' at (283527500, 123507500) with pad 'D55:2' at (286067500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(283527500, 123507500), (283527500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(283527500, 128647500), (286067500, 131187500)]
13:35:40: [INFO] Routing SW54 with D54
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW54:2' at (264477500, 123507500) with pad 'D54:2' at (267017500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(264477500, 123507500), (264477500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(264477500, 128647500), (267017500, 131187500)]
13:35:40: [INFO] Routing SW53 with D53
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW53:2' at (245427500, 123507500) with pad 'D53:2' at (247967500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(245427500, 123507500), (245427500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(245427500, 128647500), (247967500, 131187500)]
13:35:40: [INFO] Routing SW52 with D52
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW52:2' at (226377500, 123507500) with pad 'D52:2' at (228917500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(226377500, 123507500), (226377500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(226377500, 128647500), (228917500, 131187500)]
13:35:40: [INFO] Routing SW51 with D51
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW51:2' at (207327500, 123507500) with pad 'D51:2' at (209867500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(207327500, 123507500), (207327500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(207327500, 128647500), (209867500, 131187500)]
13:35:40: [INFO] Routing SW50 with D50
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW50:2' at (188277500, 123507500) with pad 'D50:2' at (190817500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(188277500, 123507500), (188277500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(188277500, 128647500), (190817500, 131187500)]
13:35:40: [INFO] Routing SW49 with D49
13:35:40: [INFO] Using internal autorouter method
13:35:40: [INFO] Routing pad 'SW49:2' at (169227500, 123507500) with pad 'D49:2' at (171767500, 131187500) using coordinate system rotated by 0 degree(s)
13:35:40: [INFO] Adding track segment (B.Cu): [(169227500, 123507500), (169227500, 128647500)]
13:35:40: [INFO] Adding track segment (B.Cu): [(169227500, 128647500), (171767500, 131187500)]
13:35:40: [INFO] Routing SW48 with D48
13:35:40: [INFO] Using internal autorouter method
