=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCICdwLgAgIwAYA0coA9aLeL8EA6AdgFZcBPbAWiUIQF9dUAmcAXRQCgw9s6ylGnQBspJulQJwaCPkSEkE8KgDMHbr3m1CLcuirwdZZaiQaec7KpL7whuDoCcplABYLW7EUEHhJZQQUNk5LPngBOwcdMUCUaVlwhSVcIPVQryM6PSEs2zjzDKt4G197fxdU909ihTLogWUWYJqkyNzHUXFcZoS4WqIU9Gb0zVq3Ww6dAA5u4ZRSVu1sqIqmlEKxpNLVvMr5jyKkn13OklwAY2xwAGIAQwfH8GVVFqP5dr882NxXvoHFC8UKMwvIJvV-LMgYt3v4cl8zvtwK9NqDrJMEc4gYcttAjMhcJB5MRCQ46E4xLh5CxdKcdM10Fd4LcLqy2c9mCgnEtvLSpl1XNMZP1joDOcgefAJvDynkTOLpLCInzMeTXMRJXAaTKGgEqtylQodf4fuggkLEvJBnEJYbpXTIjbFVsPirZYi4hrDdqHXr5gaXbzjd85uBmhaRVaxfNbYG5b6oT0UCJNfb+YQkb1nWjlcGPUmvXGtW7dSTGdd7o8Hhz0K8Azmjb7TciUBGAUMW7GG8YE6HXim7SW1r94tnMnAVumka8vewgA
13:37:29: [INFO] Add Net-(D31-A) net
13:37:29: [INFO] Add Net-(D32-A) net
13:37:29: [INFO] Add Net-(D33-A) net
13:37:29: [INFO] Add Net-(D34-A) net
13:37:29: [INFO] Add Net-(D35-A) net
13:37:29: [INFO] Add Net-(D36-A) net
13:37:29: [INFO] Add Net-(D37-A) net
13:37:29: [INFO] Add Net-(D38-A) net
13:37:29: [INFO] Add Net-(D39-A) net
13:37:29: [INFO] Add Net-(D4-A) net
13:37:29: [INFO] Add Net-(D40-A) net
13:37:29: [INFO] Add Net-(D41-A) net
13:37:29: [INFO] Add Net-(D42-A) net
13:37:29: [INFO] Add Net-(D43-A) net
13:37:29: [INFO] Add Net-(D44-A) net
13:37:29: [INFO] Add Net-(D5-A) net
13:37:29: [INFO] Add Net-(D6-A) net
13:37:29: [INFO] Add Net-(D7-A) net
13:37:29: [INFO] Add Net-(D8-A) net
13:37:29: [INFO] Add Net-(D9-A) net
13:37:29: [INFO] Add ROW0 net
13:37:29: [INFO] Add ROW1 net
13:37:29: [INFO] Add ROW2 net
13:37:29: [INFO] Add ROW3 net
13:37:29: [INFO] Add SW1 footprint
13:37:29: [INFO] Add D1 footprint
13:37:29: [INFO] Add SW2 footprint
13:37:29: [INFO] Add D2 footprint
13:37:29: [INFO] Add SW3 footprint
13:37:29: [INFO] Add D3 footprint
13:37:29: [INFO] Add SW4 footprint
13:37:29: [INFO] Add D4 footprint
13:37:29: [INFO] Add SW5 footprint
13:37:29: [INFO] Add D5 footprint
13:37:29: [INFO] Add SW6 footprint
13:37:29: [INFO] Add D6 footprint
13:37:29: [INFO] Add SW7 footprint
13:37:29: [INFO] Add D7 footprint
13:37:29: [INFO] Add SW8 footprint
13:37:29: [INFO] Add D8 footprint
13:37:29: [INFO] Add SW9 footprint
13:37:29: [INFO] Add D9 footprint
13:37:29: [INFO] Add SW10 footprint
13:37:29: [INFO] Add D10 footprint
13:37:29: [INFO] Add SW11 footprint
13:37:29: [INFO] Add D11 footprint
13:37:29: [INFO] Add SW12 footprint
13:37:29: [INFO] Add D12 footprint
13:37:29: [INFO] Add SW13 footprint
13:37:29: [INFO] Add D13 footprint
13:37:29: [INFO] Add SW14 footprint
13:37:29: [INFO] Add D14 footprint
13:37:29: [INFO] Add SW15 footprint
13:37:30: [INFO] Add D15 footprint
13:37:30: [INFO] Add SW16 footprint
13:37:30: [INFO] Add D16 footprint
13:37:30: [INFO] Add SW17 footprint
13:37:30: [INFO] Add D17 footprint
13:37:30: [INFO] Add SW18 footprint
13:37:30: [INFO] Add D18 footprint
13:37:30: [INFO] Add SW19 footprint
13:37:30: [INFO] Add D19 footprint
13:37:30: [INFO] Add SW20 footprint
13:37:30: [INFO] Add D20 footprint
13:37:30: [INFO] Add SW21 footprint
13:37:30: [INFO] Add D21 footprint
13:37:30: [INFO] Add SW22 footprint
13:37:30: [INFO] Add D22 footprint
13:37:30: [INFO] Add SW23 footprint
13:37:30: [INFO] Add D23 footprint
13:37:30: [INFO] Add SW24 footprint
13:37:30: [INFO] Add D24 footprint
13:37:30: [INFO] Add SW25 footprint
13:37:30: [INFO] Add D25 footprint
13:37:30: [INFO] Add SW26 footprint
13:37:30: [INFO] Add D26 footprint
13:37:30: [INFO] Add SW27 footprint
13:37:30: [INFO] Add D27 footprint
13:37:30: [INFO] Add SW28 footprint
13:37:30: [INFO] Add D28 footprint
13:37:30: [INFO] Add SW29 footprint
13:37:30: [INFO] Add D29 footprint
13:37:30: [INFO] Add SW30 footprint
13:37:30: [INFO] Add D30 footprint
13:37:30: [INFO] Add SW31 footprint
13:37:30: [INFO] Add D31 footprint
13:37:30: [INFO] Add SW32 footprint
13:37:30: [INFO] Add D32 footprint
13:37:30: [INFO] Add SW33 footprint
13:37:31: [INFO] Add D33 footprint
13:37:31: [INFO] Add SW34 footprint
13:37:31: [INFO] Add D34 footprint
13:37:31: [INFO] Add SW35 footprint
13:37:31: [INFO] Add D35 footprint
13:37:31: [INFO] Add SW36 footprint
13:37:31: [INFO] Add D36 footprint
13:37:31: [INFO] Add SW37 footprint
13:37:31: [INFO] Add D37 footprint
13:37:31: [INFO] Add SW38 footprint
13:37:31: [INFO] Add D38 footprint
13:37:31: [INFO] Add SW39 footprint
13:37:31: [INFO] Add D39 footprint
13:37:31: [INFO] Add SW40 footprint
13:37:31: [INFO] Add D40 footprint
13:37:31: [INFO] Add SW41 footprint
13:37:31: [INFO] Add D41 footprint
13:37:31: [INFO] Add SW42 footprint
13:37:31: [INFO] Add D42 footprint
13:37:31: [INFO] Add SW43 footprint
13:37:31: [INFO] Add D43 footprint
13:37:31: [INFO] Add SW44 footprint
13:37:31: [INFO] Add D44 footprint
13:37:31: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:31: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:31: [INFO] Layout offset: (33337500, 30480000)
13:37:31: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:31: [INFO] Placing additional elements for SW44
13:37:31: [INFO] Placing additional elements for SW43
13:37:31: [INFO] Placing additional elements for SW42
13:37:31: [INFO] Placing additional elements for SW41
13:37:31: [INFO] Placing additional elements for SW40
13:37:31: [INFO] Placing additional elements for SW39
13:37:31: [INFO] Placing additional elements for SW38
13:37:31: [INFO] Placing additional elements for SW37
13:37:31: [INFO] Placing additional elements for SW36
13:37:31: [INFO] Placing additional elements for SW35
13:37:31: [INFO] Placing additional elements for SW34
13:37:31: [INFO] Placing additional elements for SW33
13:37:31: [INFO] Placing additional elements for SW32
13:37:31: [INFO] Placing additional elements for SW31
13:37:31: [INFO] Placing additional elements for SW30
13:37:31: [INFO] Placing additional elements for SW29
13:37:31: [INFO] Placing additional elements for SW28
13:37:31: [INFO] Placing additional elements for SW27
13:37:31: [INFO] Placing additional elements for SW26
13:37:31: [INFO] Placing additional elements for SW25
13:37:31: [INFO] Placing additional elements for SW24
13:37:31: [INFO] Placing additional elements for SW23
13:37:31: [INFO] Placing additional elements for SW22
13:37:31: [INFO] Placing additional elements for SW21
13:37:31: [INFO] Placing additional elements for SW20
13:37:31: [INFO] Placing additional elements for SW19
13:37:31: [INFO] Placing additional elements for SW18
13:37:31: [INFO] Placing additional elements for SW17
13:37:31: [INFO] Placing additional elements for SW16
13:37:31: [INFO] Placing additional elements for SW15
13:37:31: [INFO] Placing additional elements for SW14
13:37:31: [INFO] Placing additional elements for SW13
13:37:31: [INFO] Placing additional elements for SW12
13:37:31: [INFO] Placing additional elements for SW11
13:37:31: [INFO] Placing additional elements for SW10
13:37:31: [INFO] Placing additional elements for SW9
13:37:31: [INFO] Placing additional elements for SW8
13:37:31: [INFO] Placing additional elements for SW7
13:37:31: [INFO] Placing additional elements for SW6
13:37:31: [INFO] Placing additional elements for SW5
13:37:31: [INFO] Placing additional elements for SW4
13:37:31: [INFO] Placing additional elements for SW3
13:37:31: [INFO] Placing additional elements for SW2
13:37:31: [INFO] Placing additional elements for SW1
13:37:31: [INFO] Routing SW44 with D44
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW44:2' at (270320762, 100872663) with pad 'D44:2' at (274155792, 107994920) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(270320762, 100872663), (271213313, 105934574)]
13:37:31: [INFO] Adding track segment (B.Cu): [(271213313, 105934574), (274155792, 107994920)]
13:37:31: [INFO] Routing SW43 with D43
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW43:2' at (250733175, 99490513) with pad 'D43:2' at (254568205, 106612770) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(250733175, 99490513), (251625726, 104552424)]
13:37:31: [INFO] Adding track segment (B.Cu): [(251625726, 104552424), (254568205, 106612770)]
13:37:31: [INFO] Routing SW42 with D42
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW42:2' at (230814788, 96232305) with pad 'D42:2' at (234649818, 103354562) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(230814788, 96232305), (231707339, 101294216)]
13:37:31: [INFO] Adding track segment (B.Cu): [(231707339, 101294216), (234649818, 103354562)]
13:37:31: [INFO] Routing SW41 with D41
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW41:2' at (213211999, 106106509) with pad 'D41:2' at (217047029, 113228766) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(213211999, 106106509), (214104549, 111168419)]
13:37:31: [INFO] Adding track segment (B.Cu): [(214104549, 111168419), (217047029, 113228766)]
13:37:31: [INFO] Routing SW40 with D40
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW40:2' at (195609211, 115980712) with pad 'D40:2' at (199444241, 123102969) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(195609211, 115980712), (196501762, 121042623)]
13:37:31: [INFO] Adding track segment (B.Cu): [(196501762, 121042623), (199444241, 123102969)]
13:37:31: [INFO] Routing SW39 with D39
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW39:2' at (176187024, 115536593) with pad 'D39:2' at (180022054, 122658850) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(176187024, 115536593), (177079575, 120598504)]
13:37:31: [INFO] Adding track segment (B.Cu): [(177079575, 120598504), (180022054, 122658850)]
13:37:31: [INFO] Routing SW38 with D38
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW38:2' at (141362938, 116451523) with pad 'D38:2' at (142530731, 124455912) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(141362938, 116451523), (140470386, 121513434)]
13:37:31: [INFO] Adding track segment (B.Cu): [(140470386, 121513434), (142530731, 124455912)]
13:37:31: [INFO] Routing SW37 with D37
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW37:2' at (121940751, 116895643) with pad 'D37:2' at (123108544, 124900032) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(121940751, 116895643), (121048199, 121957554)]
13:37:31: [INFO] Adding track segment (B.Cu): [(121048199, 121957554), (123108544, 124900032)]
13:37:31: [INFO] Routing SW36 with D36
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW36:2' at (104337962, 107021440) with pad 'D36:2' at (105505755, 115025829) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(104337962, 107021440), (103445409, 112083350)]
13:37:31: [INFO] Adding track segment (B.Cu): [(103445409, 112083350), (105505755, 115025829)]
13:37:31: [INFO] Routing SW35 with D35
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW35:2' at (86735174, 97147236) with pad 'D35:2' at (87902967, 105151625) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(86735174, 97147236), (85842622, 102209147)]
13:37:31: [INFO] Adding track segment (B.Cu): [(85842622, 102209147), (87902967, 105151625)]
13:37:31: [INFO] Routing SW34 with D34
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW34:2' at (66816787, 100405444) with pad 'D34:2' at (67984580, 108409833) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(66816787, 100405444), (65924235, 105467355)]
13:37:31: [INFO] Adding track segment (B.Cu): [(65924235, 105467355), (67984580, 108409833)]
13:37:31: [INFO] Routing SW33 with D33
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW33:2' at (47229200, 101787593) with pad 'D33:2' at (48396993, 109791982) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(47229200, 101787593), (46336648, 106849504)]
13:37:31: [INFO] Adding track segment (B.Cu): [(46336648, 106849504), (48396993, 109791982)]
13:37:31: [INFO] Routing SW32 with D32
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW32:2' at (267012764, 82112075) with pad 'D32:2' at (270847794, 89234332) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(267012764, 82112075), (267905314, 87173985)]
13:37:31: [INFO] Adding track segment (B.Cu): [(267905314, 87173985), (270847794, 89234332)]
13:37:31: [INFO] Routing SW31 with D31
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW31:2' at (247425177, 80729926) with pad 'D31:2' at (251260207, 87852183) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(247425177, 80729926), (248317728, 85791837)]
13:37:31: [INFO] Adding track segment (B.Cu): [(248317728, 85791837), (251260207, 87852183)]
13:37:31: [INFO] Routing SW30 with D30
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW30:2' at (227506790, 77471718) with pad 'D30:2' at (231341820, 84593975) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(227506790, 77471718), (228399341, 82533628)]
13:37:31: [INFO] Adding track segment (B.Cu): [(228399341, 82533628), (231341820, 84593975)]
13:37:31: [INFO] Routing SW29 with D29
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW29:2' at (209904002, 87345921) with pad 'D29:2' at (213739032, 94468178) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(209904002, 87345921), (210796552, 92407832)]
13:37:31: [INFO] Adding track segment (B.Cu): [(210796552, 92407832), (213739032, 94468178)]
13:37:31: [INFO] Routing SW28 with D28
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW28:2' at (192301213, 97220125) with pad 'D28:2' at (196136243, 104342382) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(192301213, 97220125), (193193763, 102282034)]
13:37:31: [INFO] Adding track segment (B.Cu): [(193193763, 102282034), (196136243, 104342382)]
13:37:31: [INFO] Routing SW27 with D27
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW27:2' at (172879026, 96776005) with pad 'D27:2' at (176714056, 103898262) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(172879026, 96776005), (173771577, 101837916)]
13:37:31: [INFO] Adding track segment (B.Cu): [(173771577, 101837916), (176714056, 103898262)]
13:37:31: [INFO] Routing SW26 with D26
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW26:2' at (144670936, 97690936) with pad 'D26:2' at (145838729, 105695325) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(144670936, 97690936), (143778384, 102752847)]
13:37:31: [INFO] Adding track segment (B.Cu): [(143778384, 102752847), (145838729, 105695325)]
13:37:31: [INFO] Routing SW25 with D25
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW25:2' at (125248749, 98135055) with pad 'D25:2' at (126416542, 106139444) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(125248749, 98135055), (124356196, 103196966)]
13:37:31: [INFO] Adding track segment (B.Cu): [(124356196, 103196966), (126416542, 106139444)]
13:37:31: [INFO] Routing SW24 with D24
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW24:2' at (107645960, 88260852) with pad 'D24:2' at (108813753, 96265241) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(107645960, 88260852), (106753408, 93322763)]
13:37:31: [INFO] Adding track segment (B.Cu): [(106753408, 93322763), (108813753, 96265241)]
13:37:31: [INFO] Routing SW23 with D23
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW23:2' at (90043172, 78386648) with pad 'D23:2' at (91210965, 86391037) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(90043172, 78386648), (89150619, 83448559)]
13:37:31: [INFO] Adding track segment (B.Cu): [(89150619, 83448559), (91210965, 86391037)]
13:37:31: [INFO] Routing SW22 with D22
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW22:2' at (70124785, 81644856) with pad 'D22:2' at (71292578, 89649245) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(70124785, 81644856), (69232232, 86706767)]
13:37:31: [INFO] Adding track segment (B.Cu): [(69232232, 86706767), (71292578, 89649245)]
13:37:31: [INFO] Routing SW21 with D21
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW21:2' at (50537198, 83027006) with pad 'D21:2' at (51704991, 91031395) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(50537198, 83027006), (49644645, 88088917)]
13:37:31: [INFO] Adding track segment (B.Cu): [(49644645, 88088917), (51704991, 91031395)]
13:37:31: [INFO] Routing SW20 with D20
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW20:2' at (263704766, 63351487) with pad 'D20:2' at (267539796, 70473744) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(263704766, 63351487), (264597316, 68413397)]
13:37:31: [INFO] Adding track segment (B.Cu): [(264597316, 68413397), (267539796, 70473744)]
13:37:31: [INFO] Routing SW19 with D19
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW19:2' at (244117179, 61969338) with pad 'D19:2' at (247952209, 69091595) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(244117179, 61969338), (245009729, 67031248)]
13:37:31: [INFO] Adding track segment (B.Cu): [(245009729, 67031248), (247952209, 69091595)]
13:37:31: [INFO] Routing SW18 with D18
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW18:2' at (224198792, 58711129) with pad 'D18:2' at (228033822, 65833386) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(224198792, 58711129), (225091343, 63773040)]
13:37:31: [INFO] Adding track segment (B.Cu): [(225091343, 63773040), (228033822, 65833386)]
13:37:31: [INFO] Routing SW17 with D17
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW17:2' at (206596004, 68585334) with pad 'D17:2' at (210431034, 75707591) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(206596004, 68585334), (207488555, 73647245)]
13:37:31: [INFO] Adding track segment (B.Cu): [(207488555, 73647245), (210431034, 75707591)]
13:37:31: [INFO] Routing SW16 with D16
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW16:2' at (188993215, 78459537) with pad 'D16:2' at (192828245, 85581794) using coordinate system rotated by 350.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(188993215, 78459537), (189885765, 83521447)]
13:37:31: [INFO] Adding track segment (B.Cu): [(189885765, 83521447), (192828245, 85581794)]
13:37:31: [INFO] Routing SW15 with D15
13:37:31: [INFO] Using internal autorouter method
13:37:31: [INFO] Routing pad 'SW15:2' at (128556746, 79374468) with pad 'D15:2' at (129724539, 87378857) using coordinate system rotated by 10.0 degree(s)
13:37:31: [INFO] Adding track segment (B.Cu): [(128556746, 79374468), (127664193, 84436378)]
13:37:31: [INFO] Adding track segment (B.Cu): [(127664193, 84436378), (129724539, 87378857)]
13:37:32: [INFO] Routing SW14 with D14
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW14:2' at (110953958, 69500264) with pad 'D14:2' at (112121751, 77504653) using coordinate system rotated by 10.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(110953958, 69500264), (110061406, 74562175)]
13:37:32: [INFO] Adding track segment (B.Cu): [(110061406, 74562175), (112121751, 77504653)]
13:37:32: [INFO] Routing SW13 with D13
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW13:2' at (93351169, 59626061) with pad 'D13:2' at (94518962, 67630450) using coordinate system rotated by 10.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(93351169, 59626061), (92458616, 64687971)]
13:37:32: [INFO] Adding track segment (B.Cu): [(92458616, 64687971), (94518962, 67630450)]
13:37:32: [INFO] Routing SW12 with D12
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW12:2' at (73432782, 62884269) with pad 'D12:2' at (74600575, 70888658) using coordinate system rotated by 10.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(73432782, 62884269), (72540229, 67946180)]
13:37:32: [INFO] Adding track segment (B.Cu): [(72540229, 67946180), (74600575, 70888658)]
13:37:32: [INFO] Routing SW11 with D11
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW11:2' at (53845195, 64266418) with pad 'D11:2' at (55012988, 72270807) using coordinate system rotated by 10.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(53845195, 64266418), (52952642, 69328328)]
13:37:32: [INFO] Adding track segment (B.Cu): [(52952642, 69328328), (55012988, 72270807)]
13:37:32: [INFO] Routing SW10 with D10
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW10:2' at (260396769, 44590899) with pad 'D10:2' at (264231799, 51713156) using coordinate system rotated by 350.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(260396769, 44590899), (261289319, 49652810)]
13:37:32: [INFO] Adding track segment (B.Cu): [(261289319, 49652810), (264231799, 51713156)]
13:37:32: [INFO] Routing SW9 with D9
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW9:2' at (240809181, 43208750) with pad 'D9:2' at (244644211, 50331007) using coordinate system rotated by 350.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(240809181, 43208750), (241701731, 48270660)]
13:37:32: [INFO] Adding track segment (B.Cu): [(241701731, 48270660), (244644211, 50331007)]
13:37:32: [INFO] Routing SW8 with D8
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW8:2' at (220890794, 39950542) with pad 'D8:2' at (224725824, 47072799) using coordinate system rotated by 350.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(220890794, 39950542), (221783344, 45012452)]
13:37:32: [INFO] Adding track segment (B.Cu): [(221783344, 45012452), (224725824, 47072799)]
13:37:32: [INFO] Routing SW7 with D7
13:37:32: [INFO] Using internal autorouter method
13:37:32: [INFO] Routing pad 'SW7:2' at (203288006, 49824746) with pad 'D7:2' at (207123036, 56947003) using coordinate system rotated by 350.0 degree(s)
13:37:32: [INFO] Adding track segment (B.Cu): [(203288006, 49824746), (204180557, 54886656)]
13:37:32: [INFO] Adding track segment (B.Cu): [(204180557, 54886656), (207123036, 56947003)]
13:37:32: [INFO] Routing SW6 with D6
13:37:32: [INFO] Using internal autorouter method
