=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuAIxa1EL0BMTdWAzO-QCxMlYCRAEMx46sywBWHlgBsc5HIAccgJxzahGvVqNdDNsShCkadDQDuQlgDpc2KbW4BdLACgw4AB5Da0nYsNACeQgC0tEE0pMLiEjQAZiJCwPRw+Bk4mTnZeVlwtO4INvBRvDQAFv52vE7gFQEAOgB2re1tnR2tcACmhO5eEGHwuEHSSSnwacXgpYV20vXBOgjBBmtYxpvcNMH8ezLswYqHyodqh5qH2scMG+Dr2xDzUUs3bp7efmWBFQgjODhMYqeqcBj8QbeQHAuwBaw1ZDvBDg1bgcEPcHbdFcdjgg4oo40cGnQnnQmXQnXQm3Yn3ASmMgoCzkua2cZghifIa+fx-UIREExMyIShUTkBcBQ4aCuETBCxJDxMTseb2FjIhoEdgVbEVXYICoErWyGgVUla1kVSla6la2mG+kmNUOeqNbnffy8WoC+Cw0FmiFSr4yv1jeElGoa+oTVYvKOaiYbeNlDk0CbPRnCFms+byRYxhQMn4ZBzyrPkMXQQt2pNopNsaW8sqcH0A2UqYVM5UpQsudhJ41J2SuVxAA
13:40:07: [INFO] Add Net-(D24-A) net
13:40:07: [INFO] Add Net-(D25-A) net
13:40:07: [INFO] Add Net-(D26-A) net
13:40:07: [INFO] Add Net-(D27-A) net
13:40:07: [INFO] Add Net-(D28-A) net
13:40:07: [INFO] Add Net-(D29-A) net
13:40:07: [INFO] Add Net-(D3-A) net
13:40:07: [INFO] Add Net-(D30-A) net
13:40:07: [INFO] Add Net-(D31-A) net
13:40:07: [INFO] Add Net-(D32-A) net
13:40:07: [INFO] Add Net-(D33-A) net
13:40:07: [INFO] Add Net-(D34-A) net
13:40:07: [INFO] Add Net-(D35-A) net
13:40:07: [INFO] Add Net-(D36-A) net
13:40:07: [INFO] Add Net-(D37-A) net
13:40:07: [INFO] Add Net-(D38-A) net
13:40:07: [INFO] Add Net-(D39-A) net
13:40:07: [INFO] Add Net-(D4-A) net
13:40:07: [INFO] Add Net-(D40-A) net
13:40:07: [INFO] Add Net-(D41-A) net
13:40:07: [INFO] Add Net-(D42-A) net
13:40:07: [INFO] Add Net-(D43-A) net
13:40:07: [INFO] Add Net-(D44-A) net
13:40:07: [INFO] Add Net-(D45-A) net
13:40:07: [INFO] Add Net-(D46-A) net
13:40:07: [INFO] Add Net-(D47-A) net
13:40:07: [INFO] Add Net-(D48-A) net
13:40:07: [INFO] Add Net-(D49-A) net
13:40:07: [INFO] Add Net-(D5-A) net
13:40:07: [INFO] Add Net-(D50-A) net
13:40:07: [INFO] Add Net-(D51-A) net
13:40:07: [INFO] Add Net-(D52-A) net
13:40:07: [INFO] Add Net-(D53-A) net
13:40:07: [INFO] Add Net-(D54-A) net
13:40:07: [INFO] Add Net-(D55-A) net
13:40:07: [INFO] Add Net-(D56-A) net
13:40:07: [INFO] Add Net-(D57-A) net
13:40:07: [INFO] Add Net-(D58-A) net
13:40:07: [INFO] Add Net-(D59-A) net
13:40:07: [INFO] Add Net-(D6-A) net
13:40:07: [INFO] Add Net-(D60-A) net
13:40:07: [INFO] Add Net-(D61-A) net
13:40:07: [INFO] Add Net-(D62-A) net
13:40:07: [INFO] Add Net-(D63-A) net
13:40:07: [INFO] Add Net-(D64-A) net
13:40:07: [INFO] Add Net-(D65-A) net
13:40:07: [INFO] Add Net-(D66-A) net
13:40:07: [INFO] Add Net-(D67-A) net
13:40:07: [INFO] Add Net-(D7-A) net
13:40:07: [INFO] Add Net-(D8-A) net
13:40:07: [INFO] Add Net-(D9-A) net
13:40:07: [INFO] Add ROW0 net
13:40:07: [INFO] Add ROW1 net
13:40:07: [INFO] Add ROW2 net
13:40:07: [INFO] Add ROW3 net
13:40:07: [INFO] Add ROW4 net
13:40:07: [INFO] Add ROW5 net
13:40:07: [INFO] Add SW1 footprint
13:40:08: [INFO] Add D1 footprint
13:40:08: [INFO] Add SW2 footprint
13:40:08: [INFO] Add D2 footprint
13:40:08: [INFO] Add SW3 footprint
13:40:08: [INFO] Add D3 footprint
13:40:08: [INFO] Add SW4 footprint
13:40:08: [INFO] Add D4 footprint
13:40:08: [INFO] Add SW5 footprint
13:40:08: [INFO] Add D5 footprint
13:40:08: [INFO] Add SW6 footprint
13:40:08: [INFO] Add D6 footprint
13:40:08: [INFO] Add SW7 footprint
13:40:08: [INFO] Add D7 footprint
13:40:08: [INFO] Add SW8 footprint
13:40:08: [INFO] Add D8 footprint
13:40:08: [INFO] Add SW9 footprint
13:40:08: [INFO] Add D9 footprint
13:40:08: [INFO] Add SW10 footprint
13:40:08: [INFO] Add D10 footprint
13:40:08: [INFO] Add SW11 footprint
13:40:08: [INFO] Add D11 footprint
13:40:08: [INFO] Add SW12 footprint
13:40:08: [INFO] Add D12 footprint
13:40:08: [INFO] Add SW13 footprint
13:40:08: [INFO] Add D13 footprint
13:40:08: [INFO] Add SW14 footprint
13:40:08: [INFO] Add D14 footprint
13:40:08: [INFO] Add ST14 footprint
13:40:08: [INFO] Add SW15 footprint
13:40:08: [INFO] Add D15 footprint
13:40:08: [INFO] Add SW16 footprint
13:40:08: [INFO] Add D16 footprint
13:40:08: [INFO] Add SW17 footprint
13:40:08: [INFO] Add D17 footprint
13:40:08: [INFO] Add SW18 footprint
13:40:08: [INFO] Add D18 footprint
13:40:08: [INFO] Add SW19 footprint
13:40:09: [INFO] Add D19 footprint
13:40:09: [INFO] Add SW20 footprint
13:40:09: [INFO] Add D20 footprint
13:40:09: [INFO] Add SW21 footprint
13:40:09: [INFO] Add D21 footprint
13:40:09: [INFO] Add SW22 footprint
13:40:09: [INFO] Add D22 footprint
13:40:09: [INFO] Add SW23 footprint
13:40:09: [INFO] Add D23 footprint
13:40:09: [INFO] Add SW24 footprint
13:40:09: [INFO] Add D24 footprint
13:40:09: [INFO] Add SW25 footprint
13:40:09: [INFO] Add D25 footprint
13:40:09: [INFO] Add SW26 footprint
13:40:09: [INFO] Add D26 footprint
13:40:09: [INFO] Add SW27 footprint
13:40:09: [INFO] Add D27 footprint
13:40:09: [INFO] Add SW28 footprint
13:40:09: [INFO] Add D28 footprint
13:40:09: [INFO] Add SW29 footprint
13:40:09: [INFO] Add D29 footprint
13:40:09: [INFO] Add SW30 footprint
13:40:09: [INFO] Add D30 footprint
13:40:09: [INFO] Add SW31 footprint
13:40:09: [INFO] Add D31 footprint
13:40:09: [INFO] Add SW32 footprint
13:40:09: [INFO] Add D32 footprint
13:40:09: [INFO] Add SW33 footprint
13:40:09: [INFO] Add D33 footprint
13:40:09: [INFO] Add SW34 footprint
13:40:09: [INFO] Add D34 footprint
13:40:09: [INFO] Add SW35 footprint
13:40:09: [INFO] Add D35 footprint
13:40:09: [INFO] Add SW36 footprint
13:40:09: [INFO] Add D36 footprint
13:40:09: [INFO] Add SW37 footprint
13:40:09: [INFO] Add D37 footprint
13:40:09: [INFO] Add SW38 footprint
13:40:09: [INFO] Add D38 footprint
13:40:10: [INFO] Add SW39 footprint
13:40:10: [INFO] Add D39 footprint
13:40:10: [INFO] Add SW40 footprint
13:40:10: [INFO] Add D40 footprint
13:40:10: [INFO] Add SW41 footprint
13:40:10: [INFO] Add D41 footprint
13:40:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:10: [INFO] Add ST41 footprint
13:40:10: [INFO] Add SW42 footprint
13:40:10: [INFO] Add D42 footprint
13:40:10: [INFO] Add SW43 footprint
13:40:10: [INFO] Add D43 footprint
13:40:10: [INFO] Add SW44 footprint
13:40:10: [INFO] Add D44 footprint
13:40:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:10: [INFO] Add ST44 footprint
13:40:10: [INFO] Add SW45 footprint
13:40:10: [INFO] Add D45 footprint
13:40:10: [INFO] Add SW46 footprint
13:40:10: [INFO] Add D46 footprint
13:40:10: [INFO] Add SW47 footprint
13:40:10: [INFO] Add D47 footprint
13:40:10: [INFO] Add SW48 footprint
13:40:10: [INFO] Add D48 footprint
13:40:10: [INFO] Add SW49 footprint
13:40:10: [INFO] Add D49 footprint
13:40:10: [INFO] Add SW50 footprint
13:40:10: [INFO] Add D50 footprint
13:40:10: [INFO] Add SW51 footprint
13:40:10: [INFO] Add D51 footprint
13:40:10: [INFO] Add SW52 footprint
13:40:10: [INFO] Add D52 footprint
13:40:10: [INFO] Add SW53 footprint
13:40:10: [INFO] Add D53 footprint
13:40:10: [INFO] Add SW54 footprint
13:40:10: [INFO] Add D54 footprint
13:40:10: [INFO] Add SW55 footprint
13:40:10: [INFO] Add D55 footprint
13:40:10: [INFO] Add ST55 footprint
13:40:10: [INFO] Add SW56 footprint
13:40:10: [INFO] Add D56 footprint
13:40:10: [WARNING] Requested width 1.4u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:40:10: [INFO] Add SW57 footprint
13:40:10: [INFO] Add D57 footprint
13:40:11: [INFO] Add SW58 footprint
13:40:11: [INFO] Add D58 footprint
13:40:11: [INFO] Add SW59 footprint
13:40:11: [INFO] Add D59 footprint
13:40:11: [INFO] Add SW60 footprint
13:40:11: [INFO] Add D60 footprint
13:40:11: [INFO] Add SW61 footprint
13:40:11: [INFO] Add D61 footprint
13:40:11: [WARNING] Unexpected stabilizer width 6.5u, no footprint will be set
13:40:11: [INFO] Add SW62 footprint
13:40:11: [INFO] Add D62 footprint
13:40:11: [INFO] Add SW63 footprint
13:40:11: [INFO] Add D63 footprint
13:40:11: [INFO] Add SW64 footprint
13:40:11: [INFO] Add D64 footprint
13:40:11: [INFO] Add SW65 footprint
13:40:11: [INFO] Add D65 footprint
13:40:11: [INFO] Add SW66 footprint
13:40:11: [INFO] Add D66 footprint
13:40:11: [INFO] Add SW67 footprint
13:40:11: [INFO] Add D67 footprint
13:40:11: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:11: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:11: [INFO] Layout offset: (28575000, 28575000)
13:40:11: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:11: [INFO] Placing additional elements for SW67
13:40:11: [INFO] Placing additional elements for SW66
13:40:11: [INFO] Placing additional elements for SW65
13:40:11: [INFO] Placing additional elements for SW64
13:40:11: [INFO] Placing additional elements for SW63
13:40:11: [INFO] Placing additional elements for SW62
13:40:11: [INFO] Placing additional elements for SW61
13:40:11: [INFO] Placing additional elements for SW60
13:40:11: [INFO] Placing additional elements for SW59
13:40:11: [INFO] Placing additional elements for SW58
13:40:11: [INFO] Placing additional elements for SW57
13:40:11: [INFO] Placing additional elements for SW56
13:40:11: [INFO] Placing additional elements for SW55
13:40:11: [INFO] Placing additional elements for SW54
13:40:11: [INFO] Placing additional elements for SW53
13:40:11: [INFO] Placing additional elements for SW52
13:40:11: [INFO] Placing additional elements for SW51
13:40:11: [INFO] Placing additional elements for SW50
13:40:11: [INFO] Placing additional elements for SW49
13:40:11: [INFO] Placing additional elements for SW48
13:40:11: [INFO] Placing additional elements for SW47
13:40:11: [INFO] Placing additional elements for SW46
13:40:11: [INFO] Placing additional elements for SW45
13:40:11: [INFO] Placing additional elements for SW44
13:40:11: [INFO] Placing additional elements for SW43
13:40:11: [INFO] Placing additional elements for SW42
13:40:11: [INFO] Placing additional elements for SW41
13:40:11: [INFO] Placing additional elements for SW40
13:40:11: [INFO] Placing additional elements for SW39
13:40:11: [INFO] Placing additional elements for SW38
13:40:11: [INFO] Placing additional elements for SW37
13:40:11: [INFO] Placing additional elements for SW36
13:40:11: [INFO] Placing additional elements for SW35
13:40:11: [INFO] Placing additional elements for SW34
13:40:11: [INFO] Placing additional elements for SW33
13:40:11: [INFO] Placing additional elements for SW32
13:40:11: [INFO] Placing additional elements for SW31
13:40:11: [INFO] Placing additional elements for SW30
13:40:11: [INFO] Placing additional elements for SW29
13:40:11: [INFO] Placing additional elements for SW28
13:40:11: [INFO] Placing additional elements for SW27
13:40:11: [INFO] Placing additional elements for SW26
13:40:11: [INFO] Placing additional elements for SW25
13:40:11: [INFO] Placing additional elements for SW24
13:40:11: [INFO] Placing additional elements for SW23
13:40:11: [INFO] Placing additional elements for SW22
13:40:11: [INFO] Placing additional elements for SW21
13:40:11: [INFO] Placing additional elements for SW20
13:40:11: [INFO] Placing additional elements for SW19
13:40:11: [INFO] Placing additional elements for SW18
13:40:11: [INFO] Placing additional elements for SW17
13:40:11: [INFO] Placing additional elements for SW16
13:40:11: [INFO] Placing additional elements for SW15
13:40:11: [INFO] Placing additional elements for SW14
13:40:11: [INFO] Placing additional elements for SW13
13:40:11: [INFO] Placing additional elements for SW12
13:40:11: [INFO] Placing additional elements for SW11
13:40:11: [INFO] Placing additional elements for SW10
13:40:11: [INFO] Placing additional elements for SW9
13:40:11: [INFO] Placing additional elements for SW8
13:40:11: [INFO] Placing additional elements for SW7
13:40:11: [INFO] Placing additional elements for SW6
13:40:11: [INFO] Placing additional elements for SW5
13:40:11: [INFO] Placing additional elements for SW4
13:40:11: [INFO] Placing additional elements for SW3
13:40:11: [INFO] Placing additional elements for SW2
13:40:11: [INFO] Placing additional elements for SW1
13:40:11: [INFO] Routing SW67 with D67
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW67:2' at (334010000, 116840000) with pad 'D67:2' at (336550000, 124520000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 116840000), (334010000, 121980000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 121980000), (336550000, 124520000)]
13:40:11: [INFO] Routing SW66 with D66
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW66:2' at (314960000, 116840000) with pad 'D66:2' at (317500000, 124520000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(314960000, 116840000), (314960000, 121980000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(314960000, 121980000), (317500000, 124520000)]
13:40:11: [INFO] Routing SW65 with D65
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW65:2' at (295910000, 116840000) with pad 'D65:2' at (298450000, 124520000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(295910000, 116840000), (295910000, 121980000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(295910000, 121980000), (298450000, 124520000)]
13:40:11: [INFO] Routing SW64 with D64
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW64:2' at (274955000, 113030000) with pad 'D64:2' at (277495000, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(274955000, 113030000), (274955000, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(274955000, 118170000), (277495000, 120710000)]
13:40:11: [INFO] Routing SW63 with D63
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW63:2' at (255905000, 113030000) with pad 'D63:2' at (258445000, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(255905000, 113030000), (255905000, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(255905000, 118170000), (258445000, 120710000)]
13:40:11: [INFO] Routing SW62 with D62
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW62:2' at (236855000, 113030000) with pad 'D62:2' at (239395000, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(236855000, 113030000), (236855000, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(236855000, 118170000), (239395000, 120710000)]
13:40:11: [INFO] Routing SW61 with D61
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW61:2' at (164465000, 113030000) with pad 'D61:2' at (167005000, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(164465000, 113030000), (164465000, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(164465000, 118170000), (167005000, 120710000)]
13:40:11: [INFO] Routing SW60 with D60
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW60:2' at (90646250, 113030000) with pad 'D60:2' at (93186250, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(90646250, 113030000), (90646250, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(90646250, 118170000), (93186250, 120710000)]
13:40:11: [INFO] Routing SW59 with D59
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW59:2' at (66833750, 113030000) with pad 'D59:2' at (69373750, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(66833750, 113030000), (66833750, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(66833750, 118170000), (69373750, 120710000)]
13:40:11: [INFO] Routing SW58 with D58
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW58:2' at (43021250, 113030000) with pad 'D58:2' at (45561250, 120710000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(43021250, 113030000), (43021250, 118170000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(43021250, 118170000), (45561250, 120710000)]
13:40:11: [INFO] Routing SW57 with D57
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW57:2' at (334010000, 33019999) with pad 'D57:2' at (336550000, 40699999) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 33019999), (334010000, 38159999)]
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 38159999), (336550000, 40699999)]
13:40:11: [INFO] Routing SW56 with D56
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW56:2' at (314960000, 96837500) with pad 'D56:2' at (317500000, 104517500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(314960000, 96837500), (314960000, 101977500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(314960000, 101977500), (317500000, 104517500)]
13:40:11: [INFO] Routing SW55 with D55
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW55:2' at (283527500, 93027500) with pad 'D55:2' at (286067500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(283527500, 93027500), (283527500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(283527500, 98167500), (286067500, 100707500)]
13:40:11: [INFO] Routing SW54 with D54
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW54:2' at (254952500, 93027500) with pad 'D54:2' at (257492500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(254952500, 93027500), (254952500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(254952500, 98167500), (257492500, 100707500)]
13:40:11: [INFO] Routing SW53 with D53
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW53:2' at (235902500, 93027500) with pad 'D53:2' at (238442500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(235902500, 93027500), (235902500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(235902500, 98167500), (238442500, 100707500)]
13:40:11: [INFO] Routing SW52 with D52
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW52:2' at (216852500, 93027500) with pad 'D52:2' at (219392500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(216852500, 93027500), (216852500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(216852500, 98167500), (219392500, 100707500)]
13:40:11: [INFO] Routing SW51 with D51
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW51:2' at (197802500, 93027500) with pad 'D51:2' at (200342500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(197802500, 93027500), (197802500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(197802500, 98167500), (200342500, 100707500)]
13:40:11: [INFO] Routing SW50 with D50
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW50:2' at (178752500, 93027500) with pad 'D50:2' at (181292500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(178752500, 93027500), (178752500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(178752500, 98167500), (181292500, 100707500)]
13:40:11: [INFO] Routing SW49 with D49
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW49:2' at (159702500, 93027500) with pad 'D49:2' at (162242500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(159702500, 93027500), (159702500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(159702500, 98167500), (162242500, 100707500)]
13:40:11: [INFO] Routing SW48 with D48
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW48:2' at (140652500, 93027500) with pad 'D48:2' at (143192500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(140652500, 93027500), (140652500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(140652500, 98167500), (143192500, 100707500)]
13:40:11: [INFO] Routing SW47 with D47
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW47:2' at (121602500, 93027500) with pad 'D47:2' at (124142500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(121602500, 93027500), (121602500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(121602500, 98167500), (124142500, 100707500)]
13:40:11: [INFO] Routing SW46 with D46
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW46:2' at (102552500, 93027500) with pad 'D46:2' at (105092500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(102552500, 93027500), (102552500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(102552500, 98167500), (105092500, 100707500)]
13:40:11: [INFO] Routing SW45 with D45
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW45:2' at (83502500, 93027500) with pad 'D45:2' at (86042500, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(83502500, 93027500), (83502500, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(83502500, 98167500), (86042500, 100707500)]
13:40:11: [INFO] Routing SW44 with D44
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW44:2' at (52546250, 93027500) with pad 'D44:2' at (55086250, 100707500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(52546250, 93027500), (52546250, 98167500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(52546250, 98167500), (55086250, 100707500)]
13:40:11: [INFO] Routing SW43 with D43
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW43:2' at (334010000, 76835000) with pad 'D43:2' at (336550000, 84515000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 76835000), (334010000, 81975000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 81975000), (336550000, 84515000)]
13:40:11: [INFO] Routing SW42 with D42
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW42:2' at (334010000, 56832500) with pad 'D42:2' at (336550000, 64512500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 56832500), (334010000, 61972500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(334010000, 61972500), (336550000, 64512500)]
13:40:11: [INFO] Routing SW41 with D41
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW41:2' at (295433750, 73025000) with pad 'D41:2' at (297973750, 80705000) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(295433750, 73025000), (295433750, 78165000)]
