=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYB+ACw9S5KnWy9aorADZFyRQA5J4MvBm05grAE5FnQhyyduFzv2LbpNegmjwkAQ09f2vTiIC6WABQYOAAno50DADu5JyU+gycBFquCIisbAbJ1gjJdnlYIklYEiUKJSolaiWaJSYlZgI5ueA5BRBpHl6eArHw8YmFfuCBIRD9cPHIQ+DUKfZdGZnQBvOt8wVzRQLzZQjzFQfKu1g1x3XHDcdNDOu5nUwoaKh95NROa5YBwaFLPb0Yu9PgwhAs4I83MtMj5wGDWmCtmDiggwfs4VgjhiqqizgIwZcMdcMbcIYwoQD3G8BpQZgZ4UjvqNflIaUpZAwxJYtJNBgYuR0HPAlLTnOBeQl+ZZzAgubZmeMhXAxJQhDMGBF4ABaKjqlxPFbQIHCkGyk7+fxAA
13:40:08: [INFO] Add Net-(D26-A) net
13:40:08: [INFO] Add Net-(D27-A) net
13:40:08: [INFO] Add Net-(D28-A) net
13:40:08: [INFO] Add Net-(D29-A) net
13:40:08: [INFO] Add Net-(D3-A) net
13:40:08: [INFO] Add Net-(D30-A) net
13:40:08: [INFO] Add Net-(D31-A) net
13:40:08: [INFO] Add Net-(D32-A) net
13:40:08: [INFO] Add Net-(D33-A) net
13:40:08: [INFO] Add Net-(D34-A) net
13:40:08: [INFO] Add Net-(D35-A) net
13:40:08: [INFO] Add Net-(D36-A) net
13:40:08: [INFO] Add Net-(D37-A) net
13:40:08: [INFO] Add Net-(D38-A) net
13:40:08: [INFO] Add Net-(D39-A) net
13:40:08: [INFO] Add Net-(D4-A) net
13:40:08: [INFO] Add Net-(D40-A) net
13:40:08: [INFO] Add Net-(D41-A) net
13:40:08: [INFO] Add Net-(D42-A) net
13:40:08: [INFO] Add Net-(D43-A) net
13:40:08: [INFO] Add Net-(D44-A) net
13:40:08: [INFO] Add Net-(D45-A) net
13:40:08: [INFO] Add Net-(D46-A) net
13:40:08: [INFO] Add Net-(D47-A) net
13:40:08: [INFO] Add Net-(D48-A) net
13:40:08: [INFO] Add Net-(D49-A) net
13:40:08: [INFO] Add Net-(D5-A) net
13:40:08: [INFO] Add Net-(D50-A) net
13:40:08: [INFO] Add Net-(D51-A) net
13:40:08: [INFO] Add Net-(D52-A) net
13:40:08: [INFO] Add Net-(D53-A) net
13:40:08: [INFO] Add Net-(D54-A) net
13:40:08: [INFO] Add Net-(D55-A) net
13:40:08: [INFO] Add Net-(D56-A) net
13:40:08: [INFO] Add Net-(D57-A) net
13:40:08: [INFO] Add Net-(D58-A) net
13:40:08: [INFO] Add Net-(D59-A) net
13:40:08: [INFO] Add Net-(D6-A) net
13:40:08: [INFO] Add Net-(D7-A) net
13:40:08: [INFO] Add Net-(D8-A) net
13:40:08: [INFO] Add Net-(D9-A) net
13:40:08: [INFO] Add ROW0 net
13:40:08: [INFO] Add ROW1 net
13:40:08: [INFO] Add ROW2 net
13:40:08: [INFO] Add ROW3 net
13:40:08: [INFO] Add ROW4 net
13:40:08: [INFO] Add SW1 footprint
13:40:08: [INFO] Add D1 footprint
13:40:08: [INFO] Add SW2 footprint
13:40:08: [INFO] Add D2 footprint
13:40:08: [INFO] Add SW3 footprint
13:40:08: [INFO] Add D3 footprint
13:40:08: [INFO] Add SW4 footprint
13:40:08: [INFO] Add D4 footprint
13:40:08: [INFO] Add SW5 footprint
13:40:08: [INFO] Add D5 footprint
13:40:08: [INFO] Add SW6 footprint
13:40:08: [INFO] Add D6 footprint
13:40:08: [INFO] Add SW7 footprint
13:40:08: [INFO] Add D7 footprint
13:40:08: [INFO] Add SW8 footprint
13:40:08: [INFO] Add D8 footprint
13:40:08: [INFO] Add SW9 footprint
13:40:08: [INFO] Add D9 footprint
13:40:08: [INFO] Add SW10 footprint
13:40:08: [INFO] Add D10 footprint
13:40:08: [INFO] Add SW11 footprint
13:40:08: [INFO] Add D11 footprint
13:40:08: [INFO] Add SW12 footprint
13:40:08: [INFO] Add D12 footprint
13:40:08: [INFO] Add SW13 footprint
13:40:08: [INFO] Add D13 footprint
13:40:08: [INFO] Add SW14 footprint
13:40:08: [INFO] Add D14 footprint
13:40:08: [INFO] Add SW15 footprint
13:40:08: [INFO] Add D15 footprint
13:40:09: [INFO] Add SW16 footprint
13:40:09: [INFO] Add D16 footprint
13:40:09: [INFO] Add SW17 footprint
13:40:09: [INFO] Add D17 footprint
13:40:09: [INFO] Add SW18 footprint
13:40:09: [INFO] Add D18 footprint
13:40:09: [INFO] Add SW19 footprint
13:40:09: [INFO] Add D19 footprint
13:40:09: [INFO] Add SW20 footprint
13:40:09: [INFO] Add D20 footprint
13:40:09: [INFO] Add SW21 footprint
13:40:09: [INFO] Add D21 footprint
13:40:09: [INFO] Add SW22 footprint
13:40:09: [INFO] Add D22 footprint
13:40:09: [INFO] Add SW23 footprint
13:40:09: [INFO] Add D23 footprint
13:40:09: [INFO] Add SW24 footprint
13:40:09: [INFO] Add D24 footprint
13:40:09: [INFO] Add SW25 footprint
13:40:09: [INFO] Add D25 footprint
13:40:09: [INFO] Add SW26 footprint
13:40:09: [INFO] Add D26 footprint
13:40:09: [INFO] Add SW27 footprint
13:40:09: [INFO] Add D27 footprint
13:40:09: [INFO] Add SW28 footprint
13:40:09: [INFO] Add D28 footprint
13:40:09: [INFO] Add SW29 footprint
13:40:09: [INFO] Add D29 footprint
13:40:09: [INFO] Add SW30 footprint
13:40:09: [INFO] Add D30 footprint
13:40:09: [INFO] Add SW31 footprint
13:40:09: [INFO] Add D31 footprint
13:40:09: [INFO] Add SW32 footprint
13:40:10: [INFO] Add D32 footprint
13:40:10: [INFO] Add SW33 footprint
13:40:10: [INFO] Add D33 footprint
13:40:10: [INFO] Add SW34 footprint
13:40:10: [INFO] Add D34 footprint
13:40:10: [INFO] Add SW35 footprint
13:40:10: [INFO] Add D35 footprint
13:40:10: [INFO] Add SW36 footprint
13:40:10: [INFO] Add D36 footprint
13:40:10: [INFO] Add SW37 footprint
13:40:10: [INFO] Add D37 footprint
13:40:10: [INFO] Add SW38 footprint
13:40:10: [INFO] Add D38 footprint
13:40:10: [INFO] Add SW39 footprint
13:40:10: [INFO] Add D39 footprint
13:40:10: [INFO] Add SW40 footprint
13:40:10: [INFO] Add D40 footprint
13:40:10: [INFO] Add SW41 footprint
13:40:10: [INFO] Add D41 footprint
13:40:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:10: [INFO] Add ST41 footprint
13:40:10: [INFO] Add SW42 footprint
13:40:10: [INFO] Add D42 footprint
13:40:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:10: [INFO] Add ST42 footprint
13:40:10: [INFO] Add SW43 footprint
13:40:10: [INFO] Add D43 footprint
13:40:10: [INFO] Add SW44 footprint
13:40:10: [INFO] Add D44 footprint
13:40:10: [INFO] Add SW45 footprint
13:40:10: [INFO] Add D45 footprint
13:40:10: [INFO] Add SW46 footprint
13:40:10: [INFO] Add D46 footprint
13:40:10: [INFO] Add SW47 footprint
13:40:10: [INFO] Add D47 footprint
13:40:11: [INFO] Add SW48 footprint
13:40:11: [INFO] Add D48 footprint
13:40:11: [INFO] Add SW49 footprint
13:40:11: [INFO] Add D49 footprint
13:40:11: [INFO] Add SW50 footprint
13:40:11: [INFO] Add D50 footprint
13:40:11: [INFO] Add SW51 footprint
13:40:11: [INFO] Add D51 footprint
13:40:11: [INFO] Add SW52 footprint
13:40:11: [INFO] Add D52 footprint
13:40:11: [INFO] Add SW53 footprint
13:40:11: [INFO] Add D53 footprint
13:40:11: [INFO] Add SW54 footprint
13:40:11: [INFO] Add D54 footprint
13:40:11: [INFO] Add SW55 footprint
13:40:11: [INFO] Add D55 footprint
13:40:11: [INFO] Add SW56 footprint
13:40:11: [INFO] Add D56 footprint
13:40:11: [INFO] Add SW57 footprint
13:40:11: [INFO] Add D57 footprint
13:40:11: [INFO] Add ST57 footprint
13:40:11: [INFO] Add SW58 footprint
13:40:11: [INFO] Add D58 footprint
13:40:11: [INFO] Add SW59 footprint
13:40:11: [INFO] Add D59 footprint
13:40:11: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:11: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:11: [INFO] Layout offset: (28575000, 28575000)
13:40:11: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:11: [INFO] Placing additional elements for SW59
13:40:11: [INFO] Placing additional elements for SW58
13:40:11: [INFO] Placing additional elements for SW57
13:40:11: [INFO] Placing additional elements for SW56
13:40:11: [INFO] Placing additional elements for SW55
13:40:11: [INFO] Placing additional elements for SW54
13:40:11: [INFO] Placing additional elements for SW53
13:40:11: [INFO] Placing additional elements for SW52
13:40:11: [INFO] Placing additional elements for SW51
13:40:11: [INFO] Placing additional elements for SW50
13:40:11: [INFO] Placing additional elements for SW49
13:40:11: [INFO] Placing additional elements for SW48
13:40:11: [INFO] Placing additional elements for SW47
13:40:11: [INFO] Placing additional elements for SW46
13:40:11: [INFO] Placing additional elements for SW45
13:40:11: [INFO] Placing additional elements for SW44
13:40:11: [INFO] Placing additional elements for SW43
13:40:11: [INFO] Placing additional elements for SW42
13:40:11: [INFO] Placing additional elements for SW41
13:40:11: [INFO] Placing additional elements for SW40
13:40:11: [INFO] Placing additional elements for SW39
13:40:11: [INFO] Placing additional elements for SW38
13:40:11: [INFO] Placing additional elements for SW37
13:40:11: [INFO] Placing additional elements for SW36
13:40:11: [INFO] Placing additional elements for SW35
13:40:11: [INFO] Placing additional elements for SW34
13:40:11: [INFO] Placing additional elements for SW33
13:40:11: [INFO] Placing additional elements for SW32
13:40:11: [INFO] Placing additional elements for SW31
13:40:11: [INFO] Placing additional elements for SW30
13:40:11: [INFO] Placing additional elements for SW29
13:40:11: [INFO] Placing additional elements for SW28
13:40:11: [INFO] Placing additional elements for SW27
13:40:11: [INFO] Placing additional elements for SW26
13:40:11: [INFO] Placing additional elements for SW25
13:40:11: [INFO] Placing additional elements for SW24
13:40:11: [INFO] Placing additional elements for SW23
13:40:11: [INFO] Placing additional elements for SW22
13:40:11: [INFO] Placing additional elements for SW21
13:40:11: [INFO] Placing additional elements for SW20
13:40:11: [INFO] Placing additional elements for SW19
13:40:11: [INFO] Placing additional elements for SW18
13:40:11: [INFO] Placing additional elements for SW17
13:40:11: [INFO] Placing additional elements for SW16
13:40:11: [INFO] Placing additional elements for SW15
13:40:11: [INFO] Placing additional elements for SW14
13:40:11: [INFO] Placing additional elements for SW13
13:40:11: [INFO] Placing additional elements for SW12
13:40:11: [INFO] Placing additional elements for SW11
13:40:11: [INFO] Placing additional elements for SW10
13:40:11: [INFO] Placing additional elements for SW9
13:40:11: [INFO] Placing additional elements for SW8
13:40:11: [INFO] Placing additional elements for SW7
13:40:11: [INFO] Placing additional elements for SW6
13:40:11: [INFO] Placing additional elements for SW5
13:40:11: [INFO] Placing additional elements for SW4
13:40:11: [INFO] Placing additional elements for SW3
13:40:11: [INFO] Placing additional elements for SW2
13:40:11: [INFO] Placing additional elements for SW1
13:40:11: [INFO] Routing SW59 with D59
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW59:2' at (276383750, 113982500) with pad 'D59:2' at (278923750, 121662500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(276383750, 113982500), (276383750, 119122500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(276383750, 119122500), (278923750, 121662500)]
13:40:11: [INFO] Routing SW58 with D58
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW58:2' at (252571250, 113982500) with pad 'D58:2' at (255111250, 121662500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(252571250, 113982500), (252571250, 119122500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(252571250, 119122500), (255111250, 121662500)]
13:40:11: [INFO] Routing SW57 with D57
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW57:2' at (173990000, 118745000) with pad 'D57:2' at (176530000, 126425000) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(173990000, 118745000), (173990000, 123885000)]
13:40:11: [INFO] Adding track segment (B.Cu): [(173990000, 123885000), (176530000, 126425000)]
13:40:11: [INFO] Routing SW56 with D56
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW56:2' at (95408750, 113982500) with pad 'D56:2' at (97948750, 121662500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(95408750, 113982500), (95408750, 119122500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(95408750, 119122500), (97948750, 121662500)]
13:40:11: [INFO] Routing SW55 with D55
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW55:2' at (71596250, 113982500) with pad 'D55:2' at (74136250, 121662500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(71596250, 113982500), (71596250, 119122500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(71596250, 119122500), (74136250, 121662500)]
13:40:11: [INFO] Routing SW54 with D54
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW54:2' at (307340000, 94932500) with pad 'D54:2' at (309880000, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(307340000, 94932500), (307340000, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(307340000, 100072500), (309880000, 102612500)]
13:40:11: [INFO] Routing SW53 with D53
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW53:2' at (281146250, 94932500) with pad 'D53:2' at (283686250, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(281146250, 94932500), (281146250, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(281146250, 100072500), (283686250, 102612500)]
13:40:11: [INFO] Routing SW52 with D52
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW52:2' at (254952500, 94932500) with pad 'D52:2' at (257492500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(254952500, 94932500), (254952500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(254952500, 100072500), (257492500, 102612500)]
13:40:11: [INFO] Routing SW51 with D51
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW51:2' at (235902500, 94932500) with pad 'D51:2' at (238442500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(235902500, 94932500), (235902500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(235902500, 100072500), (238442500, 102612500)]
13:40:11: [INFO] Routing SW50 with D50
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW50:2' at (216852500, 94932500) with pad 'D50:2' at (219392500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(216852500, 94932500), (216852500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(216852500, 100072500), (219392500, 102612500)]
13:40:11: [INFO] Routing SW49 with D49
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW49:2' at (197802500, 94932500) with pad 'D49:2' at (200342500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(197802500, 94932500), (197802500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(197802500, 100072500), (200342500, 102612500)]
13:40:11: [INFO] Routing SW48 with D48
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW48:2' at (178752500, 94932500) with pad 'D48:2' at (181292500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(178752500, 94932500), (178752500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(178752500, 100072500), (181292500, 102612500)]
13:40:11: [INFO] Routing SW47 with D47
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW47:2' at (159702500, 94932500) with pad 'D47:2' at (162242500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:11: [INFO] Adding track segment (B.Cu): [(159702500, 94932500), (159702500, 100072500)]
13:40:11: [INFO] Adding track segment (B.Cu): [(159702500, 100072500), (162242500, 102612500)]
13:40:11: [INFO] Routing SW46 with D46
13:40:11: [INFO] Using internal autorouter method
13:40:11: [INFO] Routing pad 'SW46:2' at (140652500, 94932500) with pad 'D46:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(140652500, 94932500), (140652500, 100072500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(140652500, 100072500), (143192500, 102612500)]
13:40:12: [INFO] Routing SW45 with D45
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW45:2' at (121602500, 94932500) with pad 'D45:2' at (124142500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(121602500, 94932500), (121602500, 100072500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(121602500, 100072500), (124142500, 102612500)]
13:40:12: [INFO] Routing SW44 with D44
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW44:2' at (102552500, 94932500) with pad 'D44:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(102552500, 94932500), (102552500, 100072500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(102552500, 100072500), (105092500, 102612500)]
13:40:12: [INFO] Routing SW43 with D43
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW43:2' at (83502500, 94932500) with pad 'D43:2' at (86042500, 102612500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(83502500, 94932500), (83502500, 100072500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(83502500, 100072500), (86042500, 102612500)]
13:40:12: [INFO] Routing SW42 with D42
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW42:2' at (52546250, 94932500) with pad 'D42:2' at (55086250, 102612500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(52546250, 94932500), (52546250, 100072500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(52546250, 100072500), (55086250, 102612500)]
13:40:12: [INFO] Routing SW41 with D41
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW41:2' at (295433750, 75882500) with pad 'D41:2' at (297973750, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(295433750, 75882500), (295433750, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(295433750, 81022500), (297973750, 83562500)]
13:40:12: [INFO] Routing SW40 with D40
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW40:2' at (264477500, 75882500) with pad 'D40:2' at (267017500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(264477500, 75882500), (264477500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(264477500, 81022500), (267017500, 83562500)]
13:40:12: [INFO] Routing SW39 with D39
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW39:2' at (245427500, 75882500) with pad 'D39:2' at (247967500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(245427500, 75882500), (245427500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(245427500, 81022500), (247967500, 83562500)]
13:40:12: [INFO] Routing SW38 with D38
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW38:2' at (226377500, 75882500) with pad 'D38:2' at (228917500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(226377500, 75882500), (226377500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(226377500, 81022500), (228917500, 83562500)]
13:40:12: [INFO] Routing SW37 with D37
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW37:2' at (207327500, 75882500) with pad 'D37:2' at (209867500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(207327500, 75882500), (207327500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(207327500, 81022500), (209867500, 83562500)]
13:40:12: [INFO] Routing SW36 with D36
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW36:2' at (188277500, 75882500) with pad 'D36:2' at (190817500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(188277500, 75882500), (188277500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(188277500, 81022500), (190817500, 83562500)]
13:40:12: [INFO] Routing SW35 with D35
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW35:2' at (169227500, 75882500) with pad 'D35:2' at (171767500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(169227500, 75882500), (169227500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(169227500, 81022500), (171767500, 83562500)]
13:40:12: [INFO] Routing SW34 with D34
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW34:2' at (150177500, 75882500) with pad 'D34:2' at (152717500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(150177500, 75882500), (150177500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(150177500, 81022500), (152717500, 83562500)]
13:40:12: [INFO] Routing SW33 with D33
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW33:2' at (131127500, 75882500) with pad 'D33:2' at (133667500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(131127500, 75882500), (131127500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(131127500, 81022500), (133667500, 83562500)]
13:40:12: [INFO] Routing SW32 with D32
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW32:2' at (112077500, 75882500) with pad 'D32:2' at (114617500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(112077500, 75882500), (112077500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(112077500, 81022500), (114617500, 83562500)]
13:40:12: [INFO] Routing SW31 with D31
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW31:2' at (93027500, 75882500) with pad 'D31:2' at (95567500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(93027500, 75882500), (93027500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(93027500, 81022500), (95567500, 83562500)]
13:40:12: [INFO] Routing SW30 with D30
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW30:2' at (73977500, 75882500) with pad 'D30:2' at (76517500, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(73977500, 75882500), (73977500, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(73977500, 81022500), (76517500, 83562500)]
13:40:12: [INFO] Routing SW29 with D29
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW29:2' at (47783750, 75882500) with pad 'D29:2' at (50323750, 83562500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(47783750, 75882500), (47783750, 81022500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(47783750, 81022500), (50323750, 83562500)]
13:40:12: [INFO] Routing SW28 with D28
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW28:2' at (302577500, 56832500) with pad 'D28:2' at (305117500, 64512500) using coordinate system rotated by 0 degree(s)
13:40:12: [INFO] Adding track segment (B.Cu): [(302577500, 56832500), (302577500, 61972500)]
13:40:12: [INFO] Adding track segment (B.Cu): [(302577500, 61972500), (305117500, 64512500)]
13:40:12: [INFO] Routing SW27 with D27
13:40:12: [INFO] Using internal autorouter method
13:40:12: [INFO] Routing pad 'SW27:2' at (278765000, 56832500) with pad 'D27:2' at (281305000, 64512500) using coordinate system rotated by 0 degree(s)
